Country,Year,Hydro (%  of energy used)
Argentina,1966,1.017
Argentina,1967,1.012
Argentina,1968,1.154
Argentina,1969,1.002
Argentina,1970,1.223
Argentina,1971,1.146
Argentina,1972,1.102
Argentina,1973,2.101
Argentina,1974,3.395
Argentina,1975,3.595
Argentina,1976,3.303
Argentina,1977,3.638
Argentina,1978,4.889
Argentina,1979,6.266
Argentina,1980,8.968
Argentina,1981,8.963
Argentina,1982,10.552
Argentina,1983,10.602
Argentina,1984,11.42
Argentina,1985,12.011
Argentina,1986,11.565
Argentina,1987,11.507
Argentina,1988,7.777
Argentina,1989,6.951
Argentina,1990,9.742
Argentina,1991,8.684
Argentina,1992,9.864
Argentina,1993,11.429
Argentina,1994,12.837
Argentina,1995,12.579
Argentina,1996,10.878
Argentina,1997,13.611
Argentina,1998,12.859
Argentina,1999,10.425
Argentina,2000,13.333
Argentina,2001,16.742
Argentina,2002,17.124
Argentina,2003,15.009
Argentina,2004,12.743
Argentina,2005,13.264
Argentina,2006,13.891
Argentina,2007,11.404
Argentina,2008,11.049
Argentina,2009,12.382
Argentina,2010,11.768
Argentina,2011,11.084
Argentina,2012,9.882
Argentina,2013,10.436
Argentina,2014,10.433
Argentina,2015,10.403
Argentina,2016,9.534
Argentina,2017,10.268
Argentina,2018,10.381
Argentina,2019,9.774
Argentina,2020,8.616
Asia Pacific,1965,8.346
Asia Pacific,1966,7.992
Asia Pacific,1967,7.187
Asia Pacific,1968,7.34
Asia Pacific,1969,6.686
Asia Pacific,1970,6.094
Asia Pacific,1971,6.136
Asia Pacific,1972,5.963
Asia Pacific,1973,5.222
Asia Pacific,1974,5.742
Asia Pacific,1975,5.899
Asia Pacific,1976,5.647
Asia Pacific,1977,5.195
Asia Pacific,1978,5.076
Asia Pacific,1979,5.259
Asia Pacific,1980,5.548
Asia Pacific,1981,5.836
Asia Pacific,1982,5.639
Asia Pacific,1983,5.717
Asia Pacific,1984,5.347
Asia Pacific,1985,5.449
Asia Pacific,1986,5.361
Asia Pacific,1987,5.054
Asia Pacific,1988,5.213
Asia Pacific,1989,5.307
Asia Pacific,1990,5.243
Asia Pacific,1991,5.154
Asia Pacific,1992,4.818
Asia Pacific,1993,5.019
Asia Pacific,1994,4.79
Asia Pacific,1995,4.975
Asia Pacific,1996,4.654
Asia Pacific,1997,4.54
Asia Pacific,1998,4.85
Asia Pacific,1999,4.611
Asia Pacific,2000,4.636
Asia Pacific,2001,4.878
Asia Pacific,2002,4.682
Asia Pacific,2003,4.413
Asia Pacific,2004,4.696
Asia Pacific,2005,4.51
Asia Pacific,2006,4.661
Asia Pacific,2007,4.635
Asia Pacific,2008,5.248
Asia Pacific,2009,4.95
Asia Pacific,2010,5.24
Asia Pacific,2011,5.038
Asia Pacific,2012,5.475
Asia Pacific,2013,5.726
Asia Pacific,2014,6.187
Asia Pacific,2015,6.217
Asia Pacific,2016,6.293
Asia Pacific,2017,6.231
Asia Pacific,2018,6.131
Asia Pacific,2019,6.225
Asia Pacific,2020,6.478
Australia,1965,5.035
Australia,1966,4.588
Australia,1967,4.48
Australia,1968,4.416
Australia,1969,4.632
Australia,1970,4.972
Australia,1971,5.358
Australia,1972,5.144
Australia,1973,5.116
Australia,1974,5.434
Australia,1975,5.736
Australia,1976,5.268
Australia,1977,4.803
Australia,1978,5.043
Australia,1979,4.719
Australia,1980,4.444
Australia,1981,4.504
Australia,1982,4.186
Australia,1983,4.114
Australia,1984,4.29
Australia,1985,4.426
Australia,1986,4.367
Australia,1987,4.117
Australia,1988,4.145
Australia,1989,3.923
Australia,1990,3.98
Australia,1991,4.254
Australia,1992,4.262
Australia,1993,4.291
Australia,1994,4.07
Australia,1995,3.772
Australia,1996,3.744
Australia,1997,3.65
Australia,1998,3.53
Australia,1999,3.495
Australia,2000,3.512
Australia,2001,3.389
Australia,2002,3.296
Australia,2003,3.253
Australia,2004,3.032
Australia,2005,2.962
Australia,2006,2.726
Australia,2007,2.316
Australia,2008,2.056
Australia,2009,2.225
Australia,2010,2.421
Australia,2011,3.329
Australia,2012,2.916
Australia,2013,3.207
Australia,2014,2.395
Australia,2015,2.262
Australia,2016,2.802
Australia,2017,2.144
Australia,2018,2.723
Australia,2019,2.141
Australia,2020,2.318
Austria,1965,23.94
Austria,1966,24.66
Austria,1967,24.931
Austria,1968,23.942
Austria,1969,21.212
Austria,1970,23.624
Austria,1971,18.684
Austria,1972,18.56
Austria,1973,19.189
Austria,1974,22.621
Austria,1975,23.879
Austria,1976,19.89
Austria,1977,24.109
Austria,1978,23.115
Austria,1979,24.606
Austria,1980,25.617
Austria,1981,28.003
Austria,1982,29.015
Austria,1983,28.818
Austria,1984,25.484
Austria,1985,27.82
Austria,1986,27.659
Austria,1987,30.033
Austria,1988,30.42
Austria,1989,30.056
Austria,1990,26.6
Austria,1991,25.29
Austria,1992,28.54
Austria,1993,29.555
Austria,1994,28.912
Austria,1995,28.632
Austria,1996,26.349
Austria,1997,27.247
Austria,1998,27.613
Austria,1999,29.597
Austria,2000,30.32
Austria,2001,28.093
Austria,2002,27.702
Austria,2003,22.423
Austria,2004,24.255
Austria,2005,23.913
Austria,2006,23.102
Austria,2007,24.431
Austria,2008,24.621
Austria,2009,27.023
Austria,2010,24.365
Austria,2011,23.083
Austria,2012,27.987
Austria,2013,26.878
Austria,2014,27.192
Austria,2015,24.378
Austria,2016,25.228
Austria,2017,23.532
Austria,2018,23.555
Austria,2019,24.083
Austria,2020,26.287
Azerbaijan,1985,1.555
Azerbaijan,1986,0.885
Azerbaijan,1987,0.913
Azerbaijan,1988,0.792
Azerbaijan,1989,0.777
Azerbaijan,1990,1.771
Azerbaijan,1991,1.956
Azerbaijan,1992,2.269
Azerbaijan,1993,3.635
Azerbaijan,1994,2.983
Azerbaijan,1995,2.697
Azerbaijan,1996,3.25
Azerbaijan,1997,3.781
Azerbaijan,1998,4.294
Azerbaijan,1999,3.327
Azerbaijan,2000,3.246
Azerbaijan,2001,2.837
Azerbaijan,2002,4.433
Azerbaijan,2003,4.979
Azerbaijan,2004,4.866
Azerbaijan,2005,4.872
Azerbaijan,2006,4.117
Azerbaijan,2007,4.246
Azerbaijan,2008,3.945
Azerbaijan,2009,4.59
Azerbaijan,2010,6.905
Azerbaijan,2011,4.79
Azerbaijan,2012,3.145
Azerbaijan,2013,2.486
Azerbaijan,2014,2.115
Azerbaijan,2015,2.423
Azerbaijan,2016,2.91
Azerbaijan,2017,2.628
Azerbaijan,2018,2.571
Azerbaijan,2019,2.152
Azerbaijan,2020,1.525
Bangladesh,1971,0
Bangladesh,1972,3.06
Bangladesh,1973,4.686
Bangladesh,1974,3.329
Bangladesh,1975,5.262
Bangladesh,1976,5.196
Bangladesh,1977,4.478
Bangladesh,1978,4.811
Bangladesh,1979,5.039
Bangladesh,1980,4.44
Bangladesh,1981,4.727
Bangladesh,1982,3.583
Bangladesh,1983,4.589
Bangladesh,1984,5.757
Bangladesh,1985,4.264
Bangladesh,1986,2.383
Bangladesh,1987,2.481
Bangladesh,1988,2.909
Bangladesh,1989,3.68
Bangladesh,1990,3.332
Bangladesh,1991,3.274
Bangladesh,1992,2.851
Bangladesh,1993,1.979
Bangladesh,1994,2.599
Bangladesh,1995,0.965
Bangladesh,1996,1.832
Bangladesh,1997,1.696
Bangladesh,1998,1.916
Bangladesh,1999,1.824
Bangladesh,2000,1.53
Bangladesh,2001,1.763
Bangladesh,2002,1.281
Bangladesh,2003,1.2
Bangladesh,2004,1.153
Bangladesh,2005,1.062
Bangladesh,2006,0.974
Bangladesh,2007,0.946
Bangladesh,2008,1.127
Bangladesh,2009,0.447
Bangladesh,2010,0.759
Bangladesh,2011,0.83
Bangladesh,2012,0.687
Bangladesh,2013,0.621
Bangladesh,2014,0.461
Bangladesh,2015,0.625
Bangladesh,2016,0.602
Bangladesh,2017,0.671
Bangladesh,2018,0.528
Bangladesh,2019,0.448
Bangladesh,2020,0.391
Belarus,1985,0.014
Belarus,1986,0.012
Belarus,1987,0.012
Belarus,1988,0.012
Belarus,1989,0.012
Belarus,1990,0.012
Belarus,1991,0.011
Belarus,1992,0.011
Belarus,1993,0.016
Belarus,1994,0.019
Belarus,1995,0.022
Belarus,1996,0.017
Belarus,1997,0.022
Belarus,1998,0.03
Belarus,1999,0.021
Belarus,2000,0.029
Belarus,2001,0.033
Belarus,2002,0.031
Belarus,2003,0.03
Belarus,2004,0.031
Belarus,2005,0.034
Belarus,2006,0.031
Belarus,2007,0.031
Belarus,2008,0.034
Belarus,2009,0.041
Belarus,2010,0.039
Belarus,2011,0.036
Belarus,2012,0.057
Belarus,2013,0.123
Belarus,2014,0.104
Belarus,2015,0.104
Belarus,2016,0.133
Belarus,2017,0.372
Belarus,2018,0.271
Belarus,2019,0.297
Belarus,2020,0.32
Belgium,1965,0.183
Belgium,1966,0.209
Belgium,1967,0.158
Belgium,1968,0.146
Belgium,1969,0.125
Belgium,1970,0.127
Belgium,1971,0.07
Belgium,1972,0.089
Belgium,1973,0.083
Belgium,1974,0.121
Belgium,1975,0.098
Belgium,1976,0.055
Belgium,1977,0.113
Belgium,1978,0.108
Belgium,1979,0.11
Belgium,1980,0.137
Belgium,1981,0.197
Belgium,1982,0.18
Belgium,1983,0.188
Belgium,1984,0.188
Belgium,1985,0.147
Belgium,1986,0.17
Belgium,1987,0.207
Belgium,1988,0.17
Belgium,1989,0.143
Belgium,1990,0.119
Belgium,1991,0.099
Belgium,1992,0.148
Belgium,1993,0.112
Belgium,1994,0.145
Belgium,1995,0.14
Belgium,1996,0.093
Belgium,1997,0.118
Belgium,1998,0.148
Belgium,1999,0.13
Belgium,2000,0.173
Belgium,2001,0.166
Belgium,2002,0.135
Belgium,2003,0.089
Belgium,2004,0.113
Belgium,2005,0.103
Belgium,2006,0.127
Belgium,2007,0.136
Belgium,2008,0.14
Belgium,2009,0.119
Belgium,2010,0.106
Belgium,2011,0.071
Belgium,2012,0.134
Belgium,2013,0.138
Belgium,2014,0.115
Belgium,2015,0.121
Belgium,2016,0.13
Belgium,2017,0.093
Belgium,2018,0.108
Belgium,2019,0.101
Belgium,2020,0.114
Brazil,1965,26.319
Brazil,1966,26.386
Brazil,1967,26.641
Brazil,1968,24.385
Brazil,1969,23.901
Brazil,1970,25.098
Brazil,1971,24.909
Brazil,1972,25.367
Brazil,1973,24.303
Brazil,1974,25.24
Brazil,1975,26.293
Brazil,1976,27.461
Brazil,1977,28.972
Brazil,1978,28.894
Brazil,1979,30.282
Brazil,1980,32.818
Brazil,1981,34.148
Brazil,1982,35.114
Brazil,1983,36.956
Brazil,1984,37.857
Brazil,1985,38.066
Brazil,1986,36.51
Brazil,1987,36.069
Brazil,1988,37.268
Brazil,1989,37.559
Brazil,1990,38.566
Brazil,1991,39.129
Brazil,1992,38.337
Brazil,1993,38.623
Brazil,1994,37.947
Brazil,1995,37.808
Brazil,1996,37.48
Brazil,1997,37.216
Brazil,1998,37.513
Brazil,1999,37.048
Brazil,2000,37.852
Brazil,2001,33.808
Brazil,2002,35.053
Brazil,2003,36.554
Brazil,2004,36.353
Brazil,2005,36.957
Brazil,2006,37.028
Brazil,2007,37.198
Brazil,2008,34.999
Brazil,2009,37.107
Brazil,2010,34.559
Brazil,2011,34.875
Brazil,2012,33.015
Brazil,2013,29.775
Brazil,2014,27.637
Brazil,2015,26.854
Brazil,2016,29.015
Brazil,2017,27.735
Brazil,2018,28.722
Brazil,2019,28.554
Brazil,2020,29.349
Bulgaria,1965,4.646
Bulgaria,1966,4.355
Bulgaria,1967,3.77
Bulgaria,1968,2.175
Bulgaria,1969,2.75
Bulgaria,1970,2.861
Bulgaria,1971,2.77
Bulgaria,1972,2.599
Bulgaria,1973,3.069
Bulgaria,1974,2.411
Bulgaria,1975,2.574
Bulgaria,1976,2.929
Bulgaria,1977,3.321
Bulgaria,1978,2.643
Bulgaria,1979,2.899
Bulgaria,1980,3.079
Bulgaria,1981,3.047
Bulgaria,1982,2.507
Bulgaria,1983,2.739
Bulgaria,1984,2.678
Bulgaria,1985,1.851
Bulgaria,1986,1.886
Bulgaria,1987,2.042
Bulgaria,1988,2.043
Bulgaria,1989,2.136
Bulgaria,1990,1.614
Bulgaria,1991,2.597
Bulgaria,1992,2.337
Bulgaria,1993,2.067
Bulgaria,1994,1.623
Bulgaria,1995,2.379
Bulgaria,1996,3.015
Bulgaria,1997,3.001
Bulgaria,1998,3.518
Bulgaria,1999,3.581
Bulgaria,2000,3.439
Bulgaria,2001,2.147
Bulgaria,2002,2.762
Bulgaria,2003,3.651
Bulgaria,2004,3.919
Bulgaria,2005,4.929
Bulgaria,2006,4.696
Bulgaria,2007,3.263
Bulgaria,2008,3.24
Bulgaria,2009,4.527
Bulgaria,2010,6.3
Bulgaria,2011,3.394
Bulgaria,2012,3.933
Bulgaria,2013,5.347
Bulgaria,2014,5.619
Bulgaria,2015,6.46
Bulgaria,2016,4.72
Bulgaria,2017,3.291
Bulgaria,2018,5.965
Bulgaria,2019,3.547
Bulgaria,2020,3.799
CIS,1965,3.277
CIS,1966,3.475
CIS,1967,3.189
CIS,1968,3.612
CIS,1969,3.83
CIS,1970,3.932
CIS,1971,3.799
CIS,1972,3.522
CIS,1973,3.336
CIS,1974,3.412
CIS,1975,3.102
CIS,1976,3.217
CIS,1977,3.335
CIS,1978,3.691
CIS,1979,3.641
CIS,1980,3.809
CIS,1981,3.786
CIS,1982,3.455
CIS,1983,3.494
CIS,1984,3.79
CIS,1985,4.503
CIS,1986,4.429
CIS,1987,4.343
CIS,1988,4.419
CIS,1989,4.292
CIS,1990,4.627
CIS,1991,4.715
CIS,1992,5.03
CIS,1993,5.61
CIS,1994,6.256
CIS,1995,6.472
CIS,1996,6.037
CIS,1997,6.369
CIS,1998,6.398
CIS,1999,6.472
CIS,2000,6.575
CIS,2001,6.676
CIS,2002,6.344
CIS,2003,6.114
CIS,2004,6.562
CIS,2005,6.433
CIS,2006,6.125
CIS,2007,6.157
CIS,2008,5.584
CIS,2009,6.087
CIS,2010,5.777
CIS,2011,5.406
CIS,2012,5.324
CIS,2013,5.788
CIS,2014,5.502
CIS,2015,5.389
CIS,2016,5.801
CIS,2017,5.811
CIS,2018,5.593
CIS,2019,5.694
CIS,2020,6.355
Canada,1965,23.981
Canada,1966,25.004
Canada,1967,24.438
Canada,1968,23.338
Canada,1969,24.352
Canada,1970,23.871
Canada,1971,23.779
Canada,1972,24.717
Canada,1973,24.392
Canada,1974,25.613
Canada,1975,24.975
Canada,1976,25.06
Canada,1977,24.519
Canada,1978,25.73
Canada,1979,25.944
Canada,1980,26.189
Canada,1981,27.938
Canada,1982,27.915
Canada,1983,28.984
Canada,1984,29.319
Canada,1985,30.139
Canada,1986,30.553
Canada,1987,30.128
Canada,1988,28.131
Canada,1989,26.287
Canada,1990,27.846
Canada,1991,28.845
Canada,1992,28.812
Canada,1993,28.736
Canada,1994,28.164
Canada,1995,28.007
Canada,1996,28.954
Canada,1997,28.316
Canada,1998,27.241
Canada,1999,27.531
Canada,2000,27.716
Canada,2001,26.108
Canada,2002,26.437
Canada,2003,25.137
Canada,2004,24.766
Canada,2005,26.116
Canada,2006,25.455
Canada,2007,25.427
Canada,2008,26.209
Canada,2009,26.49
Canada,2010,24.846
Canada,2011,25.443
Canada,2012,25.529
Canada,2013,25.534
Canada,2014,24.689
Canada,2015,24.402
Canada,2016,24.735
Canada,2017,24.933
Canada,2018,23.913
Canada,2019,23.42
Canada,2020,25.068
Chile,1965,15.188
Chile,1966,14.933
Chile,1967,14.953
Chile,1968,12.559
Chile,1969,13.163
Chile,1970,13.348
Chile,1971,13.787
Chile,1972,15.911
Chile,1973,16.155
Chile,1974,18.577
Chile,1975,20.706
Chile,1976,20.344
Chile,1977,20.717
Chile,1978,20.359
Chile,1979,20.236
Chile,1980,20.711
Chile,1981,20.9
Chile,1982,24.98
Chile,1983,26.223
Chile,1984,26.007
Chile,1985,28.463
Chile,1986,29.112
Chile,1987,30.077
Chile,1988,26.382
Chile,1989,20.076
Chile,1990,16.162
Chile,1991,21.191
Chile,1992,24.413
Chile,1993,23.745
Chile,1994,22.287
Chile,1995,22.418
Chile,1996,19.36
Chile,1997,19
Chile,1998,15.917
Chile,1999,13.001
Chile,2000,17.282
Chile,2001,19.378
Chile,2002,19.895
Chile,2003,19.381
Chile,2004,17.001
Chile,2005,19.828
Chile,2006,20.357
Chile,2007,15.674
Chile,2008,17.074
Chile,2009,17.978
Chile,2010,15.374
Chile,2011,13.248
Chile,2012,12.662
Chile,2013,12.305
Chile,2014,14.437
Chile,2015,14.387
Chile,2016,11.363
Chile,2017,12.149
Chile,2018,12.719
Chile,2019,11.346
Chile,2020,11.418
China,1965,4.006
China,1966,3.751
China,1967,3.595
China,1968,4.2
China,1969,3.509
China,1970,2.832
China,1971,2.89
China,1972,3.038
China,1973,3.217
China,1974,3.53
China,1975,3.298
China,1976,3.175
China,1977,3.039
China,1978,2.597
China,1979,2.832
China,1980,3.33
China,1981,3.798
China,1982,4.132
China,1983,4.509
China,1984,4.221
China,1985,4.154
China,1986,4.056
China,1987,3.979
China,1988,4.043
China,1989,4.179
China,1990,4.416
China,1991,4.135
China,1992,4.116
China,1993,4.441
China,1994,4.613
China,1995,5.095
China,1996,4.776
China,1997,4.951
China,1998,5.018
China,1999,4.791
China,2000,5.239
China,2001,6.147
China,2002,5.819
China,2003,4.891
China,2004,5.177
China,2005,5.085
China,2006,5.059
China,2007,5.151
China,2008,6.478
China,2009,5.962
China,2010,6.403
China,2011,5.704
China,2012,6.835
China,2013,6.907
China,2014,7.778
China,2015,8.022
China,2016,8.117
China,2017,7.896
China,2018,7.797
China,2019,7.987
China,2020,8.072
Colombia,1965,11.153
Colombia,1966,11.372
Colombia,1967,11.908
Colombia,1968,12.596
Colombia,1969,13.767
Colombia,1970,14.046
Colombia,1971,15.166
Colombia,1972,14.955
Colombia,1973,16.299
Colombia,1974,16.515
Colombia,1975,17.912
Colombia,1976,18.068
Colombia,1977,18.056
Colombia,1978,19.496
Colombia,1979,20.158
Colombia,1980,21.595
Colombia,1981,20.828
Colombia,1982,21.277
Colombia,1983,20.413
Colombia,1984,22.18
Colombia,1985,22.953
Colombia,1986,25.714
Colombia,1987,25.773
Colombia,1988,27.164
Colombia,1989,28.198
Colombia,1990,30.956
Colombia,1991,30.054
Colombia,1992,23.09
Colombia,1993,26.221
Colombia,1994,28.106
Colombia,1995,27.617
Colombia,1996,29.703
Colombia,1997,25.693
Colombia,1998,25.028
Colombia,1999,29.624
Colombia,2000,27.797
Colombia,2001,28.811
Colombia,2002,30.853
Colombia,2003,31.547
Colombia,2004,32.629
Colombia,2005,33.086
Colombia,2006,31.895
Colombia,2007,32.864
Colombia,2008,31.498
Colombia,2009,28.218
Colombia,2010,26.472
Colombia,2011,30.468
Colombia,2012,27.791
Colombia,2013,25.571
Colombia,2014,24.403
Colombia,2015,23.953
Colombia,2016,23.731
Colombia,2017,28.407
Colombia,2018,27.383
Colombia,2019,25.286
Colombia,2020,22.108
Croatia,1990,10.594
Croatia,1991,19.505
Croatia,1992,15.15
Croatia,1993,15.194
Croatia,1994,17.997
Croatia,1995,18.183
Croatia,1996,23.528
Croatia,1997,17.613
Croatia,1998,17.132
Croatia,1999,20.196
Croatia,2000,18.791
Croatia,2001,19.77
Croatia,2002,15.95
Croatia,2003,14.113
Croatia,2004,18.906
Croatia,2005,17.515
Croatia,2006,16.561
Croatia,2007,11.598
Croatia,2008,14.28
Croatia,2009,18.471
Croatia,2010,22.304
Croatia,2011,13.943
Croatia,2012,14.374
Croatia,2013,23.364
Croatia,2014,24.307
Croatia,2015,18.032
Croatia,2016,18.501
Croatia,2017,14.213
Croatia,2018,19.89
Croatia,2019,15.347
Croatia,2020,15.407
Cyprus,1965,0
Cyprus,1966,0
Cyprus,1967,0
Cyprus,1968,0
Cyprus,1969,0
Cyprus,1970,0
Cyprus,1971,0
Cyprus,1972,0
Cyprus,1973,0
Cyprus,1974,0
Cyprus,1975,0
Cyprus,1976,0
Cyprus,1977,0
Cyprus,1978,0
Cyprus,1979,0
Cyprus,1980,0
Cyprus,1981,0
Cyprus,1982,0
Cyprus,1983,0
Cyprus,1984,0
Cyprus,1985,0
Cyprus,1986,0
Cyprus,1987,0
Cyprus,1988,0
Cyprus,1989,0
Cyprus,1990,0
Cyprus,1991,0
Cyprus,1992,0
Cyprus,1993,0
Cyprus,1994,0
Cyprus,1995,0
Cyprus,1996,0
Cyprus,1997,0
Cyprus,1998,0
Cyprus,1999,0
Cyprus,2000,0
Cyprus,2001,0
Cyprus,2002,0
Cyprus,2003,0
Cyprus,2004,0
Cyprus,2005,0
Cyprus,2006,0
Cyprus,2007,0
Cyprus,2008,0
Cyprus,2009,0
Cyprus,2010,0
Cyprus,2011,0
Cyprus,2012,0
Cyprus,2013,0
Cyprus,2014,0
Cyprus,2015,0
Cyprus,2016,0
Cyprus,2017,0
Cyprus,2018,0
Cyprus,2019,0
Cyprus,2020,0
Czechia,1965,1.324
Czechia,1966,1.238
Czechia,1967,1.134
Czechia,1968,0.841
Czechia,1969,0.658
Czechia,1970,0.902
Czechia,1971,0.606
Czechia,1972,0.631
Czechia,1973,0.536
Czechia,1974,0.893
Czechia,1975,0.856
Czechia,1976,0.663
Czechia,1977,0.874
Czechia,1978,0.802
Czechia,1979,0.994
Czechia,1980,1.074
Czechia,1981,0.93
Czechia,1982,0.762
Czechia,1983,0.754
Czechia,1984,0.572
Czechia,1985,0.736
Czechia,1986,0.817
Czechia,1987,1.05
Czechia,1988,0.89
Czechia,1989,0.719
Czechia,1990,0.591
Czechia,1991,0.609
Czechia,1992,0.808
Czechia,1993,0.796
Czechia,1994,0.872
Czechia,1995,1.147
Czechia,1996,1.09
Czechia,1997,0.981
Czechia,1998,0.83
Czechia,1999,1.043
Czechia,2000,1.032
Czechia,2001,1.172
Czechia,2002,1.409
Czechia,2003,0.735
Czechia,2004,1.041
Czechia,2005,1.238
Czechia,2006,1.294
Czechia,2007,1.06
Czechia,2008,1.046
Czechia,2009,1.301
Czechia,2010,1.426
Czechia,2011,1.11
Czechia,2012,1.161
Czechia,2013,1.507
Czechia,2014,1.024
Czechia,2015,0.976
Czechia,2016,1.096
Czechia,2017,0.976
Czechia,2018,0.847
Czechia,2019,1.054
Czechia,2020,1.237
Denmark,1965,0.042
Denmark,1966,0.038
Denmark,1967,0.037
Denmark,1968,0.029
Denmark,1969,0.027
Denmark,1970,0.027
Denmark,1971,0.029
Denmark,1972,0.028
Denmark,1973,0.028
Denmark,1974,0.031
Denmark,1975,0.028
Denmark,1976,0.023
Denmark,1977,0.031
Denmark,1978,0.031
Denmark,1979,0.034
Denmark,1980,0.041
Denmark,1981,0.047
Denmark,1982,0.042
Denmark,1983,0.049
Denmark,1984,0.043
Denmark,1985,0.038
Denmark,1986,0.036
Denmark,1987,0.038
Denmark,1988,0.043
Denmark,1989,0.033
Denmark,1990,0.039
Denmark,1991,0.03
Denmark,1992,0.035
Denmark,1993,0.033
Denmark,1994,0.037
Denmark,1995,0.035
Denmark,1996,0.019
Denmark,1997,0.02
Denmark,1998,0.03
Denmark,1999,0.035
Denmark,2000,0.036
Denmark,2001,0.032
Denmark,2002,0.037
Denmark,2003,0.023
Denmark,2004,0.03
Denmark,2005,0.026
Denmark,2006,0.025
Denmark,2007,0.031
Denmark,2008,0.029
Denmark,2009,0.023
Denmark,2010,0.024
Denmark,2011,0.02
Denmark,2012,0.023
Denmark,2013,0.016
Denmark,2014,0.019
Denmark,2015,0.023
Denmark,2016,0.025
Denmark,2017,0.023
Denmark,2018,0.019
Denmark,2019,0.023
Denmark,2020,0.025
Eastern Africa,1965,16.368
Eastern Africa,1966,17.675
Eastern Africa,1967,16.793
Eastern Africa,1968,16.555
Eastern Africa,1969,17.39
Eastern Africa,1970,22.052
Eastern Africa,1971,16.146
Eastern Africa,1972,18.835
Eastern Africa,1973,18.444
Eastern Africa,1974,22.564
Eastern Africa,1975,24.625
Eastern Africa,1976,25.316
Eastern Africa,1977,28.467
Eastern Africa,1978,27.914
Eastern Africa,1979,29.337
Eastern Africa,1980,26.781
Eastern Africa,1981,28.342
Eastern Africa,1982,29.8
Eastern Africa,1983,29.313
Eastern Africa,1984,28.733
Eastern Africa,1985,28.915
Eastern Africa,1986,26.297
Eastern Africa,1987,22.834
Eastern Africa,1988,23.915
Eastern Africa,1989,22.848
Eastern Africa,1990,24.024
Eastern Africa,1991,25.695
Eastern Africa,1992,23.63
Eastern Africa,1993,23.197
Eastern Africa,1994,23.208
Eastern Africa,1995,22.996
Eastern Africa,1996,22.728
Eastern Africa,1997,23.001
Eastern Africa,1998,27.585
Eastern Africa,1999,28.467
Eastern Africa,2000,29.546
Eastern Africa,2001,30.917
Eastern Africa,2002,32.59
Eastern Africa,2003,33.117
Eastern Africa,2004,30.91
Eastern Africa,2005,30.718
Eastern Africa,2006,31.171
Eastern Africa,2007,32.119
Eastern Africa,2008,31.757
Eastern Africa,2009,31.392
Eastern Africa,2010,32.384
Eastern Africa,2011,31.596
Eastern Africa,2012,32.434
Eastern Africa,2013,31.33
Eastern Africa,2014,30.453
Eastern Africa,2015,28.646
