Country,Year,Renewables (% of energy produced)
Argentina,1966,1.017
Argentina,1967,1.012
Argentina,1968,1.154
Argentina,1969,1.002
Argentina,1970,1.261
Argentina,1971,1.183
Argentina,1972,1.149
Argentina,1973,2.135
Argentina,1974,3.429
Argentina,1975,3.633
Argentina,1976,3.336
Argentina,1977,3.672
Argentina,1978,4.923
Argentina,1979,6.316
Argentina,1980,9.019
Argentina,1981,9.008
Argentina,1982,10.609
Argentina,1983,10.681
Argentina,1984,11.476
Argentina,1985,12.071
Argentina,1986,11.624
Argentina,1987,11.564
Argentina,1988,7.84
Argentina,1989,7.015
Argentina,1990,9.8
Argentina,1991,8.738
Argentina,1992,9.914
Argentina,1993,11.481
Argentina,1994,12.892
Argentina,1995,12.63
Argentina,1996,11.029
Argentina,1997,13.8
Argentina,1998,13.056
Argentina,1999,10.695
Argentina,2000,13.611
Argentina,2001,17.005
Argentina,2002,17.506
Argentina,2003,15.428
Argentina,2004,13.093
Argentina,2005,13.65
Argentina,2006,14.413
Argentina,2007,11.898
Argentina,2008,11.564
Argentina,2009,12.918
Argentina,2010,13.02
Argentina,2011,12.648
Argentina,2012,11.765
Argentina,2013,12.378
Argentina,2014,12.577
Argentina,2015,12.636
Argentina,2016,11.753
Argentina,2017,12.834
Argentina,2018,12.643
Argentina,2019,13.38
Argentina,2020,12.886
Asia Pacific,1965,8.433
Asia Pacific,1966,8.073
Asia Pacific,1967,7.254
Asia Pacific,1968,7.409
Asia Pacific,1969,6.748
Asia Pacific,1970,6.154
Asia Pacific,1971,6.19
Asia Pacific,1972,6.015
Asia Pacific,1973,5.271
Asia Pacific,1974,5.807
Asia Pacific,1975,5.966
Asia Pacific,1976,5.71
Asia Pacific,1977,5.255
Asia Pacific,1978,5.138
Asia Pacific,1979,5.335
Asia Pacific,1980,5.653
Asia Pacific,1981,5.978
Asia Pacific,1982,5.957
Asia Pacific,1983,6.062
Asia Pacific,1984,5.7
Asia Pacific,1985,5.803
Asia Pacific,1986,5.715
Asia Pacific,1987,5.394
Asia Pacific,1988,5.557
Asia Pacific,1989,5.666
Asia Pacific,1990,5.536
Asia Pacific,1991,5.443
Asia Pacific,1992,5.097
Asia Pacific,1993,5.284
Asia Pacific,1994,5.082
Asia Pacific,1995,5.305
Asia Pacific,1996,4.974
Asia Pacific,1997,4.886
Asia Pacific,1998,5.226
Asia Pacific,1999,5.013
Asia Pacific,2000,5.061
Asia Pacific,2001,5.303
Asia Pacific,2002,5.137
Asia Pacific,2003,4.866
Asia Pacific,2004,5.164
Asia Pacific,2005,5.014
Asia Pacific,2006,5.214
Asia Pacific,2007,5.233
Asia Pacific,2008,5.95
Asia Pacific,2009,5.79
Asia Pacific,2010,6.234
Asia Pacific,2011,6.198
Asia Pacific,2012,6.821
Asia Pacific,2013,7.337
Asia Pacific,2014,8.084
Asia Pacific,2015,8.361
Asia Pacific,2016,8.879
Asia Pacific,2017,9.393
Asia Pacific,2018,9.885
Asia Pacific,2019,10.461
Asia Pacific,2020,11.357
Australia,1965,5.229
Australia,1966,4.766
Australia,1967,4.651
Australia,1968,4.572
Australia,1969,4.782
Australia,1970,5.1
Australia,1971,5.48
Australia,1972,5.268
Australia,1973,5.257
Australia,1974,5.602
Australia,1975,5.924
Australia,1976,5.448
Australia,1977,4.955
Australia,1978,5.182
Australia,1979,4.858
Australia,1980,4.571
Australia,1981,4.635
Australia,1982,4.355
Australia,1983,4.26
Australia,1984,4.434
Australia,1985,4.571
Australia,1986,4.51
Australia,1987,4.259
Australia,1988,4.357
Australia,1989,4.146
Australia,1990,4.185
Australia,1991,4.451
Australia,1992,4.444
Australia,1993,4.471
Australia,1994,4.251
Australia,1995,3.978
Australia,1996,3.973
Australia,1997,3.887
Australia,1998,3.784
Australia,1999,3.757
Australia,2000,3.788
Australia,2001,3.686
Australia,2002,3.734
Australia,2003,3.798
Australia,2004,3.782
Australia,2005,4.01
Australia,2006,3.918
Australia,2007,3.689
Australia,2008,3.437
Australia,2009,3.653
Australia,2010,4.051
Australia,2011,5.384
Australia,2012,5.353
Australia,2013,6.174
Australia,2014,5.65
Australia,2015,5.914
Australia,2016,6.778
Australia,2017,6.352
Australia,2018,7.883
Australia,2019,8.491
Australia,2020,10.374
Austria,1965,23.94
Austria,1966,24.66
Austria,1967,24.931
Austria,1968,23.942
Austria,1969,21.212
Austria,1970,23.624
Austria,1971,18.684
Austria,1972,18.56
Austria,1973,19.189
Austria,1974,22.621
Austria,1975,23.879
Austria,1976,19.89
Austria,1977,24.109
Austria,1978,23.115
Austria,1979,24.606
Austria,1980,25.617
Austria,1981,28.003
Austria,1982,29.015
Austria,1983,28.818
Austria,1984,25.484
Austria,1985,27.82
Austria,1986,28.812
Austria,1987,30.802
Austria,1988,31.323
Austria,1989,31.002
Austria,1990,27.586
Austria,1991,26.299
Austria,1992,29.655
Austria,1993,30.682
Austria,1994,29.914
Austria,1995,30.104
Austria,1996,27.613
Austria,1997,28.597
Austria,1998,29.059
Austria,1999,30.845
Austria,2000,31.53
Austria,2001,29.432
Austria,2002,28.954
Austria,2003,23.897
Austria,2004,26.296
Austria,2005,26.583
Austria,2006,27.174
Austria,2007,29.45
Austria,2008,29.866
Austria,2009,32.71
Austria,2010,30.016
Austria,2011,29.106
Austria,2012,34.186
Austria,2013,33.523
Austria,2014,34.823
Austria,2015,33.145
Austria,2016,33.814
Austria,2017,32.744
Austria,2018,32.79
Austria,2019,33.779
Austria,2020,36.392
Azerbaijan,1985,1.555
Azerbaijan,1986,0.885
Azerbaijan,1987,0.913
Azerbaijan,1988,0.792
Azerbaijan,1989,0.777
Azerbaijan,1990,1.771
Azerbaijan,1991,1.956
Azerbaijan,1992,2.269
Azerbaijan,1993,3.635
Azerbaijan,1994,2.983
Azerbaijan,1995,2.697
Azerbaijan,1996,3.25
Azerbaijan,1997,3.781
Azerbaijan,1998,4.294
Azerbaijan,1999,3.327
Azerbaijan,2000,3.246
Azerbaijan,2001,2.837
Azerbaijan,2002,4.433
Azerbaijan,2003,4.979
Azerbaijan,2004,4.866
Azerbaijan,2005,4.872
Azerbaijan,2006,4.117
Azerbaijan,2007,4.246
Azerbaijan,2008,3.945
Azerbaijan,2009,4.594
Azerbaijan,2010,6.906
Azerbaijan,2011,4.79
Azerbaijan,2012,3.145
Azerbaijan,2013,2.601
Azerbaijan,2014,2.265
Azerbaijan,2015,2.571
Azerbaijan,2016,3.125
Azerbaijan,2017,2.845
Azerbaijan,2018,2.866
Azerbaijan,2019,2.492
Azerbaijan,2020,1.869
Bangladesh,1971,0
Bangladesh,1972,3.06
Bangladesh,1973,4.686
Bangladesh,1974,3.329
Bangladesh,1975,5.262
Bangladesh,1976,5.196
Bangladesh,1977,4.478
Bangladesh,1978,4.811
Bangladesh,1979,5.039
Bangladesh,1980,4.44
Bangladesh,1981,4.727
Bangladesh,1982,3.583
Bangladesh,1983,4.589
Bangladesh,1984,5.757
Bangladesh,1985,4.264
Bangladesh,1986,2.383
Bangladesh,1987,2.481
Bangladesh,1988,2.909
Bangladesh,1989,3.68
Bangladesh,1990,3.332
Bangladesh,1991,3.274
Bangladesh,1992,2.851
Bangladesh,1993,1.979
Bangladesh,1994,2.599
Bangladesh,1995,0.965
Bangladesh,1996,1.832
Bangladesh,1997,1.696
Bangladesh,1998,1.916
Bangladesh,1999,1.824
Bangladesh,2000,1.53
Bangladesh,2001,1.763
Bangladesh,2002,1.281
Bangladesh,2003,1.202
Bangladesh,2004,1.156
Bangladesh,2005,1.067
Bangladesh,2006,0.984
Bangladesh,2007,0.959
Bangladesh,2008,1.149
Bangladesh,2009,0.481
Bangladesh,2010,0.813
Bangladesh,2011,0.894
Bangladesh,2012,0.775
Bangladesh,2013,0.74
Bangladesh,2014,0.606
Bangladesh,2015,0.769
Bangladesh,2016,0.757
Bangladesh,2017,0.841
Bangladesh,2018,0.701
Bangladesh,2019,0.642
Bangladesh,2020,0.626
Belarus,1985,0.014
Belarus,1986,0.012
Belarus,1987,0.012
Belarus,1988,0.012
Belarus,1989,0.012
Belarus,1990,0.012
Belarus,1991,0.011
Belarus,1992,0.011
Belarus,1993,0.016
Belarus,1994,0.019
Belarus,1995,0.022
Belarus,1996,0.017
Belarus,1997,0.022
Belarus,1998,0.03
Belarus,1999,0.021
Belarus,2000,0.029
Belarus,2001,0.033
Belarus,2002,0.031
Belarus,2003,0.03
Belarus,2004,0.032
Belarus,2005,0.035
Belarus,2006,0.033
Belarus,2007,0.045
Belarus,2008,0.064
Belarus,2009,0.098
Belarus,2010,0.112
Belarus,2011,0.121
Belarus,2012,0.137
Belarus,2013,0.204
Belarus,2014,0.181
Belarus,2015,0.238
Belarus,2016,0.315
Belarus,2017,0.639
Belarus,2018,0.544
Belarus,2019,0.682
Belarus,2020,0.752
Belgium,1965,0.183
Belgium,1966,0.209
Belgium,1967,0.158
Belgium,1968,0.146
Belgium,1969,0.125
Belgium,1970,0.127
Belgium,1971,0.07
Belgium,1972,0.089
Belgium,1973,0.14
Belgium,1974,0.176
Belgium,1975,0.143
Belgium,1976,0.084
Belgium,1977,0.238
Belgium,1978,0.234
Belgium,1979,0.258
Belgium,1980,0.284
Belgium,1981,0.347
Belgium,1982,0.205
Belgium,1983,0.2
Belgium,1984,0.2
Belgium,1985,0.174
Belgium,1986,0.229
Belgium,1987,0.278
Belgium,1988,0.259
Belgium,1989,0.236
Belgium,1990,0.249
Belgium,1991,0.233
Belgium,1992,0.268
Belgium,1993,0.224
Belgium,1994,0.252
Belgium,1995,0.277
Belgium,1996,0.219
Belgium,1997,0.227
Belgium,1998,0.288
Belgium,1999,0.325
Belgium,2000,0.392
Belgium,2001,0.404
Belgium,2002,0.427
Belgium,2003,0.428
Belgium,2004,0.532
Belgium,2005,0.753
Belgium,2006,1.046
Belgium,2007,1.22
Belgium,2008,1.512
Belgium,2009,2.193
Belgium,2010,2.745
Belgium,2011,3.601
Belgium,2012,4.512
Belgium,2013,4.805
Belgium,2014,5.498
Belgium,2015,5.976
Belgium,2016,5.744
Belgium,2017,6.233
Belgium,2018,6.684
Belgium,2019,7.254
Belgium,2020,10.745
Brazil,1965,26.319
Brazil,1966,26.386
Brazil,1967,26.641
Brazil,1968,24.385
Brazil,1969,23.901
Brazil,1970,25.423
Brazil,1971,25.274
Brazil,1972,25.726
Brazil,1973,24.618
Brazil,1974,25.542
Brazil,1975,26.609
Brazil,1976,27.747
Brazil,1977,29.318
Brazil,1978,29.268
Brazil,1979,30.743
Brazil,1980,33.278
Brazil,1981,34.638
Brazil,1982,35.656
Brazil,1983,37.685
Brazil,1984,38.505
Brazil,1985,38.72
Brazil,1986,37.149
Brazil,1987,36.762
Brazil,1988,37.893
Brazil,1989,38.184
Brazil,1990,43.859
Brazil,1991,44.44
Brazil,1992,43.476
Brazil,1993,43.727
Brazil,1994,43.138
Brazil,1995,42.923
Brazil,1996,42.655
Brazil,1997,42.06
Brazil,1998,42.135
Brazil,1999,41.706
Brazil,2000,41.859
Brazil,2001,37.723
Brazil,2002,39.376
Brazil,2003,40.844
Brazil,2004,40.814
Brazil,2005,41.656
Brazil,2006,41.541
Brazil,2007,42.872
Brazil,2008,41.869
Brazil,2009,44.795
Brazil,2010,42.723
Brazil,2011,42.327
Brazil,2012,40.513
Brazil,2013,38.212
Brazil,2014,37.224
Brazil,2015,38.448
Brazil,2016,41.315
Brazil,2017,40.973
Brazil,2018,43.544
Brazil,2019,44.543
Brazil,2020,46.054
Bulgaria,1965,4.646
Bulgaria,1966,4.355
Bulgaria,1967,3.77
Bulgaria,1968,2.175
Bulgaria,1969,2.75
Bulgaria,1970,2.861
Bulgaria,1971,2.77
Bulgaria,1972,2.599
Bulgaria,1973,3.069
Bulgaria,1974,2.411
Bulgaria,1975,2.574
Bulgaria,1976,2.929
Bulgaria,1977,3.321
Bulgaria,1978,2.643
Bulgaria,1979,2.899
Bulgaria,1980,3.079
Bulgaria,1981,3.047
Bulgaria,1982,2.507
Bulgaria,1983,2.739
Bulgaria,1984,2.678
Bulgaria,1985,1.851
Bulgaria,1986,1.886
Bulgaria,1987,2.042
Bulgaria,1988,2.043
Bulgaria,1989,2.136
Bulgaria,1990,1.614
Bulgaria,1991,2.597
Bulgaria,1992,2.337
Bulgaria,1993,2.067
Bulgaria,1994,1.623
Bulgaria,1995,2.379
Bulgaria,1996,3.015
Bulgaria,1997,3.001
Bulgaria,1998,3.518
Bulgaria,1999,3.581
Bulgaria,2000,3.439
Bulgaria,2001,2.147
Bulgaria,2002,2.762
Bulgaria,2003,3.651
Bulgaria,2004,3.92
Bulgaria,2005,4.935
Bulgaria,2006,4.718
Bulgaria,2007,3.317
Bulgaria,2008,3.398
Bulgaria,2009,4.851
Bulgaria,2010,7.211
Bulgaria,2011,4.578
Bulgaria,2012,6.495
Bulgaria,2013,9.078
Bulgaria,2014,9.015
Bulgaria,2015,10.004
Bulgaria,2016,8.509
Bulgaria,2017,7.134
Bulgaria,2018,10.894
Bulgaria,2019,9.037
Bulgaria,2020,10.157
CIS,1965,3.277
CIS,1966,3.475
CIS,1967,3.189
CIS,1968,3.612
CIS,1969,3.83
CIS,1970,3.932
CIS,1971,3.799
CIS,1972,3.522
CIS,1973,3.336
CIS,1974,3.412
CIS,1975,3.102
CIS,1976,3.217
CIS,1977,3.335
CIS,1978,3.691
CIS,1979,3.641
CIS,1980,3.809
CIS,1981,3.786
CIS,1982,3.455
CIS,1983,3.494
CIS,1984,3.79
CIS,1985,4.503
CIS,1986,4.429
CIS,1987,4.343
CIS,1988,4.419
CIS,1989,4.292
CIS,1990,4.629
CIS,1991,4.717
CIS,1992,5.032
CIS,1993,5.612
CIS,1994,6.258
CIS,1995,6.474
CIS,1996,6.039
CIS,1997,6.371
CIS,1998,6.399
CIS,1999,6.474
CIS,2000,6.578
CIS,2001,6.679
CIS,2002,6.35
CIS,2003,6.125
CIS,2004,6.575
CIS,2005,6.446
CIS,2006,6.14
CIS,2007,6.17
CIS,2008,5.599
CIS,2009,6.105
CIS,2010,5.798
CIS,2011,5.426
CIS,2012,5.343
CIS,2013,5.808
CIS,2014,5.531
CIS,2015,5.426
CIS,2016,5.851
CIS,2017,5.872
CIS,2018,5.663
CIS,2019,5.797
CIS,2020,6.568
Canada,1965,23.981
Canada,1966,25.004
Canada,1967,24.438
Canada,1968,23.338
Canada,1969,24.352
Canada,1970,23.871
Canada,1971,23.779
Canada,1972,24.717
Canada,1973,24.392
Canada,1974,25.613
Canada,1975,24.975
Canada,1976,25.143
Canada,1977,24.638
Canada,1978,25.854
Canada,1979,26.087
Canada,1980,26.324
Canada,1981,28.137
Canada,1982,28.147
Canada,1983,29.211
Canada,1984,29.559
Canada,1985,30.306
Canada,1986,30.736
Canada,1987,30.349
Canada,1988,28.358
Canada,1989,26.602
Canada,1990,28.218
Canada,1991,29.219
Canada,1992,29.226
Canada,1993,29.171
Canada,1994,28.662
Canada,1995,28.611
Canada,1996,29.574
Canada,1997,28.985
Canada,1998,28.023
Canada,1999,28.3
Canada,2000,28.474
Canada,2001,26.941
Canada,2002,27.272
Canada,2003,25.941
Canada,2004,25.599
Canada,2005,26.943
Canada,2006,26.332
Canada,2007,26.458
Canada,2008,27.273
Canada,2009,27.862
Canada,2010,26.491
Canada,2011,27.302
Canada,2012,27.651
Canada,2013,27.624
Canada,2014,26.847
Canada,2015,27.471
Canada,2016,28.22
Canada,2017,28.163
Canada,2018,27.465
Canada,2019,26.971
Canada,2020,28.999
Chile,1965,15.188
Chile,1966,14.933
Chile,1967,14.953
Chile,1968,12.559
Chile,1969,13.163
Chile,1970,13.348
Chile,1971,13.976
Chile,1972,16.069
Chile,1973,16.302
Chile,1974,18.711
Chile,1975,20.872
Chile,1976,20.57
Chile,1977,20.955
Chile,1978,20.615
Chile,1979,20.492
Chile,1980,20.987
Chile,1981,21.182
Chile,1982,25.364
Chile,1983,26.791
Chile,1984,26.531
Chile,1985,28.964
Chile,1986,29.801
Chile,1987,30.713
Chile,1988,27.069
Chile,1989,20.687
Chile,1990,17.902
Chile,1991,22.858
Chile,1992,26.955
Chile,1993,26.158
Chile,1994,24.631
Chile,1995,24.706
Chile,1996,21.354
Chile,1997,20.749
Chile,1998,17.076
Chile,1999,14.39
Chile,2000,18.527
Chile,2001,20.889
Chile,2002,21.43
Chile,2003,20.841
Chile,2004,18.651
Chile,2005,21.221
Chile,2006,21.394
Chile,2007,17.573
Chile,2008,19.625
Chile,2009,20.457
Chile,2010,18.015
Chile,2011,16.253
Chile,2012,16.677
Chile,2013,16.909
Chile,2014,18.754
Chile,2015,19.894
Chile,2016,18.129
Chile,2017,20.678
Chile,2018,22.442
Chile,2019,22.323
Chile,2020,24.452
China,1965,4.006
China,1966,3.751
China,1967,3.595
China,1968,4.2
China,1969,3.509
China,1970,2.832
China,1971,2.89
China,1972,3.038
China,1973,3.217
China,1974,3.53
China,1975,3.298
China,1976,3.175
China,1977,3.039
China,1978,2.597
China,1979,2.832
China,1980,3.33
China,1981,3.798
China,1982,4.132
China,1983,4.509
China,1984,4.221
China,1985,4.154
China,1986,4.056
China,1987,3.979
China,1988,4.043
China,1989,4.179
China,1990,4.418
China,1991,4.138
China,1992,4.124
China,1993,4.451
China,1994,4.637
China,1995,5.192
China,1996,4.818
China,1997,5.025
China,1998,5.089
China,1999,4.865
China,2000,5.313
China,2001,6.22
China,2002,5.901
China,2003,4.983
China,2004,5.266
China,2005,5.219
China,2006,5.238
China,2007,5.367
China,2008,6.828
China,2009,6.507
China,2010,7.146
China,2011,6.638
China,2012,7.997
China,2013,8.394
China,2014,9.568
China,2015,10.108
China,2016,10.795
China,2017,11.367
China,2018,12.024
China,2019,12.74
China,2020,13.429
Colombia,1965,11.153
Colombia,1966,11.372
Colombia,1967,11.908
Colombia,1968,12.596
Colombia,1969,13.767
Colombia,1970,14.046
Colombia,1971,15.166
Colombia,1972,14.955
Colombia,1973,16.299
Colombia,1974,16.515
Colombia,1975,18.26
Colombia,1976,18.425
Colombia,1977,18.388
Colombia,1978,19.828
Colombia,1979,20.486
Colombia,1980,21.934
Colombia,1981,21.138
Colombia,1982,21.599
Colombia,1983,20.724
Colombia,1984,22.51
Colombia,1985,23.286
Colombia,1986,26.035
Colombia,1987,26.07
Colombia,1988,27.467
Colombia,1989,28.487
Colombia,1990,31.265
Colombia,1991,30.346
Colombia,1992,23.443
Colombia,1993,26.587
Colombia,1994,28.496
Colombia,1995,28.029
Colombia,1996,30.12
Colombia,1997,26.087
Colombia,1998,25.46
Colombia,1999,30.026
Colombia,2000,28.246
Colombia,2001,29.265
Colombia,2002,31.303
Colombia,2003,31.984
Colombia,2004,33.078
Colombia,2005,33.614
Colombia,2006,32.736
Colombia,2007,33.758
Colombia,2008,32.549
Colombia,2009,30.024
Colombia,2010,28.783
Colombia,2011,33.096
Colombia,2012,30.38
Colombia,2013,28.083
Colombia,2014,27.063
Colombia,2015,26.723
Colombia,2016,26.388
Colombia,2017,31.069
Colombia,2018,30.303
Colombia,2019,28.338
Colombia,2020,25.195
Croatia,1990,10.594
Croatia,1991,19.505
Croatia,1992,15.171
Croatia,1993,15.257
Croatia,1994,18.017
Croatia,1995,18.199
Croatia,1996,23.558
Croatia,1997,17.619
Croatia,1998,17.146
Croatia,1999,20.201
Croatia,2000,18.794
Croatia,2001,19.77
Croatia,2002,15.95
Croatia,2003,14.113
Croatia,2004,18.92
Croatia,2005,17.575
Croatia,2006,16.636
Croatia,2007,11.702
Croatia,2008,14.431
Croatia,2009,18.668
Croatia,2010,22.724
Croatia,2011,14.652
Croatia,2012,15.637
Croatia,2013,25.134
Croatia,2014,26.817
Croatia,2015,21.189
Croatia,2016,22.58
Croatia,2017,19.055
Croatia,2018,25.263
Croatia,2019,21.988
Croatia,2020,23.25
Cyprus,1965,0
Cyprus,1966,0
Cyprus,1967,0
Cyprus,1968,0
Cyprus,1969,0
Cyprus,1970,0
Cyprus,1971,0
Cyprus,1972,0
Cyprus,1973,0
Cyprus,1974,0
Cyprus,1975,0
Cyprus,1976,0
Cyprus,1977,0
Cyprus,1978,0
Cyprus,1979,0
Cyprus,1980,0
Cyprus,1981,0
Cyprus,1982,0
Cyprus,1983,0
Cyprus,1984,0
Cyprus,1985,0
Cyprus,1986,0
Cyprus,1987,0
Cyprus,1988,0
Cyprus,1989,0
Cyprus,1990,0
Cyprus,1991,0
Cyprus,1992,0
Cyprus,1993,0
Cyprus,1994,0
Cyprus,1995,0
Cyprus,1996,0
Cyprus,1997,0
Cyprus,1998,0
Cyprus,1999,0
Cyprus,2000,0
Cyprus,2001,0
Cyprus,2002,0
Cyprus,2003,0
Cyprus,2004,0.007
Cyprus,2005,0.007
Cyprus,2006,0.012
Cyprus,2007,0.027
Cyprus,2008,0.113
Cyprus,2009,0.235
Cyprus,2010,0.559
Cyprus,2011,1.37
Cyprus,2012,2.099
Cyprus,2013,2.969
Cyprus,2014,2.868
Cyprus,2015,3.476
Cyprus,2016,3.375
Cyprus,2017,3.348
Cyprus,2018,3.562
Cyprus,2019,3.937
Cyprus,2020,5.465
Czechia,1965,1.324
Czechia,1966,1.238
Czechia,1967,1.134
Czechia,1968,0.841
Czechia,1969,0.658
Czechia,1970,0.902
Czechia,1971,0.606
Czechia,1972,0.631
Czechia,1973,0.536
Czechia,1974,0.893
Czechia,1975,0.856
Czechia,1976,0.663
Czechia,1977,0.874
Czechia,1978,0.802
Czechia,1979,0.994
Czechia,1980,1.074
Czechia,1981,0.93
Czechia,1982,0.762
Czechia,1983,0.754
Czechia,1984,0.572
Czechia,1985,0.736
Czechia,1986,0.817
Czechia,1987,1.05
Czechia,1988,0.89
Czechia,1989,0.719
Czechia,1990,0.591
Czechia,1991,0.609
Czechia,1992,0.808
Czechia,1993,0.924
Czechia,1994,1.056
Czechia,1995,1.379
Czechia,1996,1.252
Czechia,1997,1.266
Czechia,1998,1.18
Czechia,1999,1.467
Czechia,2000,1.336
Czechia,2001,1.465
Czechia,2002,1.689
Czechia,2003,0.998
Czechia,2004,1.345
Czechia,2005,1.586
Czechia,2006,1.782
Czechia,2007,1.73
Czechia,2008,1.931
Czechia,2009,2.501
Czechia,2010,3.009
Czechia,2011,3.825
Czechia,2012,4.256
Czechia,2013,4.959
Czechia,2014,4.918
Czechia,2015,5.123
Czechia,2016,5.147
Czechia,2017,5.021
Czechia,2018,4.894
Czechia,2019,5.262
Czechia,2020,5.872
Denmark,1965,0.042
Denmark,1966,0.038
Denmark,1967,0.037
Denmark,1968,0.029
Denmark,1969,0.027
Denmark,1970,0.027
Denmark,1971,0.029
Denmark,1972,0.028
Denmark,1973,0.028
Denmark,1974,0.031
Denmark,1975,0.028
Denmark,1976,0.023
Denmark,1977,0.031
Denmark,1978,0.035
Denmark,1979,0.041
Denmark,1980,0.053
Denmark,1981,0.061
Denmark,1982,0.068
Denmark,1983,0.137
Denmark,1984,0.139
Denmark,1985,0.149
Denmark,1986,0.256
Denmark,1987,0.342
Denmark,1988,0.529
Denmark,1989,0.82
Denmark,1990,1.168
Denmark,1991,1.338
Denmark,1992,1.868
Denmark,1993,2.154
Denmark,1994,1.955
Denmark,1995,2.119
Denmark,1996,1.996
Denmark,1997,3.103
Denmark,1998,4.315
Denmark,1999,4.966
Denmark,2000,6.581
Denmark,2001,6.843
Denmark,2002,7.92
Denmark,2003,8.694
Denmark,2004,10.781
Denmark,2005,11.447
Denmark,2006,9.678
Denmark,2007,11.369
Denmark,2008,11.504
Denmark,2009,12.123
Denmark,2010,14.174
Denmark,2011,17.037
Denmark,2012,19.163
Denmark,2013,19.623
Denmark,2014,22.749
Denmark,2015,24.699
Denmark,2016,23.7
Denmark,2017,27.964
Denmark,2018,26.832
Denmark,2019,30.68
Denmark,2020,34.343
Eastern Africa,1965,16.368
Eastern Africa,1966,17.675
Eastern Africa,1967,16.793
Eastern Africa,1968,16.555
Eastern Africa,1969,17.39
Eastern Africa,1970,22.052
Eastern Africa,1971,16.374
Eastern Africa,1972,19.055
Eastern Africa,1973,18.661
Eastern Africa,1974,22.779
Eastern Africa,1975,24.841
Eastern Africa,1976,25.536
Eastern Africa,1977,28.689
Eastern Africa,1978,28.151
Eastern Africa,1979,29.576
Eastern Africa,1980,27.029
Eastern Africa,1981,28.607
Eastern Africa,1982,30.097
Eastern Africa,1983,29.599
Eastern Africa,1984,29.025
Eastern Africa,1985,29.249
Eastern Africa,1986,27.158
Eastern Africa,1987,23.688
Eastern Africa,1988,24.664
Eastern Africa,1989,23.576
Eastern Africa,1990,24.827
Eastern Africa,1991,26.541
Eastern Africa,1992,24.484
Eastern Africa,1993,23.986
Eastern Africa,1994,23.866
Eastern Africa,1995,23.8
Eastern Africa,1996,23.709
Eastern Africa,1997,23.963
Eastern Africa,1998,28.72
Eastern Africa,1999,29.564
Eastern Africa,2000,30.982
Eastern Africa,2001,32.328
Eastern Africa,2002,33.868
Eastern Africa,2003,34.755
Eastern Africa,2004,32.643
Eastern Africa,2005,32.363
Eastern Africa,2006,32.858
Eastern Africa,2007,33.66
Eastern Africa,2008,33.391
Eastern Africa,2009,33.181
Eastern Africa,2010,34.226
Eastern Africa,2011,33.384
Eastern Africa,2012,34.382
Eastern Africa,2013,33.353
