Country,Year,Geothermal Capacity (Megawatts)
Croatia,2004,0
Croatia,2005,0
Croatia,2006,0
Croatia,2007,0
Croatia,2008,0
Croatia,2009,0
Croatia,2010,0
Croatia,2011,0
Croatia,2012,0
Croatia,2013,0
Croatia,2014,0
Croatia,2015,0
Croatia,2016,0
Croatia,2017,0
Croatia,2018,10
Croatia,2019,10
Croatia,2020,10
El Salvador,1990,95
El Salvador,1995,105
El Salvador,2000,161.2
El Salvador,2001,161.2
El Salvador,2002,161.2
El Salvador,2003,161.2
El Salvador,2004,151.2
El Salvador,2005,151.2
El Salvador,2006,151.2
El Salvador,2007,204.4
El Salvador,2008,204.4
El Salvador,2009,204.4
El Salvador,2010,204.4
El Salvador,2011,204
El Salvador,2012,204.4
El Salvador,2013,204.4
El Salvador,2014,204.4
El Salvador,2015,204.4
El Salvador,2016,204.4
El Salvador,2017,204.4
El Salvador,2018,204.4
El Salvador,2019,204.4
El Salvador,2020,204
Ethiopia,1990,0
Ethiopia,1995,0
Ethiopia,2000,7.3
Ethiopia,2001,7.3
Ethiopia,2002,7.3
Ethiopia,2003,7.3
Ethiopia,2004,7.3
Ethiopia,2005,7.3
Ethiopia,2006,7.3
Ethiopia,2007,7.3
Ethiopia,2008,7.3
Ethiopia,2009,7.3
Ethiopia,2010,7.3
Ethiopia,2011,7.3
Ethiopia,2012,7.3
Ethiopia,2013,7.3
Ethiopia,2014,7.3
Ethiopia,2015,7.3
Ethiopia,2016,7.3
Ethiopia,2017,7.3
Ethiopia,2018,7.3
Ethiopia,2019,7.3
Ethiopia,2020,7
Europe,1990,617.6
Europe,1995,710.9
Europe,2000,794
Europe,2001,807
Europe,2002,902
Europe,2003,940
Europe,2004,875.2
Europe,2005,933.1
Europe,2006,1142.1
Europe,2007,1207.9
Europe,2008,1304.9
Europe,2009,1380.9
Europe,2010,1430.9
Europe,2011,1555.2
Europe,2012,1612.2
Europe,2013,1773.2
Europe,2014,1909.265
Europe,2015,2128.265
Europe,2016,2327.484
Europe,2017,2621.855
Europe,2018,2899.655
Europe,2019,3136.665
Europe,2020,3265
France,1990,4.2
France,1995,4.2
France,2000,0
France,2001,0
France,2002,0
France,2003,0
France,2004,0
France,2005,0
France,2006,0
France,2007,0
France,2008,0
France,2009,0
France,2010,0
France,2011,16.3
France,2012,15.3
France,2013,16.3
France,2014,16.3
France,2015,16.3
France,2016,15.51
France,2017,15.9
France,2018,15.9
France,2019,15.9
France,2020,16
Germany,1990,0
Germany,1995,0
Germany,2000,0
Germany,2001,0
Germany,2002,0
Germany,2003,0
Germany,2004,0.2
Germany,2005,0.2
Germany,2006,0.2
Germany,2007,3
Germany,2008,3
Germany,2009,8
Germany,2010,8
Germany,2011,6
Germany,2012,16
Germany,2013,26
Germany,2014,29
Germany,2015,29
Germany,2016,33
Germany,2017,32
Germany,2018,35
Germany,2019,40
Germany,2020,40
Guatemala,1990,0
Guatemala,1995,0
Guatemala,2000,29
Guatemala,2001,29
Guatemala,2002,29
Guatemala,2003,29
Guatemala,2004,29
Guatemala,2005,29
Guatemala,2006,54.2
Guatemala,2007,54.2
Guatemala,2008,54.2
Guatemala,2009,54.2
Guatemala,2010,54.2
Guatemala,2011,54.2
Guatemala,2012,54.2
Guatemala,2013,49.2
Guatemala,2014,49.2
Guatemala,2015,49.2
Guatemala,2016,49.2
Guatemala,2017,49.2
Guatemala,2018,49.2
Guatemala,2019,52
Guatemala,2020,49
Honduras,1990,0
Honduras,1995,0
Honduras,2000,0
Honduras,2001,0
Honduras,2002,0
Honduras,2003,0
Honduras,2004,0
Honduras,2005,0
Honduras,2006,0
Honduras,2007,0
Honduras,2008,0
Honduras,2009,0
Honduras,2010,0
Honduras,2011,0
Honduras,2012,0
Honduras,2013,0
Honduras,2014,0
Honduras,2015,0
Honduras,2016,0
Honduras,2017,35
Honduras,2018,35
Honduras,2019,35
Honduras,2020,39
Iceland,1990,44.8
Iceland,1995,49.6
Iceland,2000,172
Iceland,2001,202
Iceland,2002,202
Iceland,2003,202
Iceland,2004,202
Iceland,2005,232
Iceland,2006,422
Iceland,2007,485
Iceland,2008,575
Iceland,2009,575
Iceland,2010,575
Iceland,2011,665
Iceland,2012,665
Iceland,2013,665
Iceland,2014,665
Iceland,2015,665
Iceland,2016,665
Iceland,2017,710
Iceland,2018,756
Iceland,2019,756
Iceland,2020,756
Indonesia,2000,525
Indonesia,2001,785
Indonesia,2002,785
Indonesia,2003,805
Indonesia,2004,820
Indonesia,2005,850
Indonesia,2006,850
Indonesia,2007,980
Indonesia,2008,1052
Indonesia,2009,1189
Indonesia,2010,1189
Indonesia,2011,1226
Indonesia,2012,1336
Indonesia,2013,1343.5
Indonesia,2014,1403.5
Indonesia,2015,1438
Indonesia,2016,1533
Indonesia,2017,1808
Indonesia,2018,1948
Indonesia,2019,2130.5
Indonesia,2020,2131
Italy,1990,545
Italy,1995,631.7
Italy,2000,590
Italy,2001,573
Italy,2002,666
Italy,2003,707
Italy,2004,642
Italy,2005,671
Italy,2006,671
Italy,2007,671
Italy,2008,671
Italy,2009,695
Italy,2010,728
Italy,2011,728
Italy,2012,728
Italy,2013,729
Italy,2014,768
Italy,2015,768
Italy,2016,767
Italy,2017,767.19
Italy,2018,767.19
Italy,2019,767
Italy,2020,797
Japan,1990,214.6
Japan,1995,413.7
Japan,2000,533
Japan,2001,533
Japan,2002,533
Japan,2003,535
Japan,2004,535
Japan,2005,535
Japan,2006,532
Japan,2007,532
Japan,2008,532
Japan,2009,535
Japan,2010,537
Japan,2011,537
Japan,2012,512
Japan,2013,512
Japan,2014,508
Japan,2015,516
Japan,2016,526
Japan,2017,481
Japan,2018,482
Japan,2019,525
Japan,2020,525
Kenya,1990,45
Kenya,1995,45
Kenya,2000,58
Kenya,2001,58
Kenya,2002,58
Kenya,2003,58
Kenya,2004,128
Kenya,2005,128
Kenya,2006,128
Kenya,2007,128
Kenya,2008,128
Kenya,2009,163
Kenya,2010,198
Kenya,2011,198
Kenya,2012,205.5
Kenya,2013,205.5
Kenya,2014,366.1
Kenya,2015,604
Kenya,2016,638
Kenya,2017,648
Kenya,2018,664
Kenya,2019,824
Kenya,2020,824
Mexico,1990,743
Mexico,1995,743
Mexico,2000,855
Mexico,2001,838
Mexico,2002,843
Mexico,2003,960
Mexico,2004,960
Mexico,2005,960
Mexico,2006,960
Mexico,2007,960
Mexico,2008,963
Mexico,2009,965
Mexico,2010,965
Mexico,2011,887
Mexico,2012,824
Mexico,2013,823
Mexico,2014,813
Mexico,2015,906
Mexico,2016,926
Mexico,2017,925.7
Mexico,2018,950.6
Mexico,2019,935.6
Mexico,2020,906
New Zealand,1990,261
New Zealand,1995,265
New Zealand,2000,418
New Zealand,2001,417
New Zealand,2002,373
New Zealand,2003,378
New Zealand,2004,378
New Zealand,2005,433
New Zealand,2006,433
New Zealand,2007,451
New Zealand,2008,593
New Zealand,2009,633
New Zealand,2010,731
New Zealand,2011,726
New Zealand,2012,726
New Zealand,2013,798
New Zealand,2014,924
New Zealand,2015,941
New Zealand,2016,941
New Zealand,2017,941
New Zealand,2018,952
New Zealand,2019,952
New Zealand,2020,984
Nicaragua,1990,35
Nicaragua,1995,70
Nicaragua,2000,21
Nicaragua,2001,26
Nicaragua,2002,77.5
Nicaragua,2003,77.5
Nicaragua,2004,77.5
Nicaragua,2005,87.5
Nicaragua,2006,87.5
Nicaragua,2007,87.5
Nicaragua,2008,87.5
Nicaragua,2009,87.5
Nicaragua,2010,87.5
Nicaragua,2011,87.5
Nicaragua,2012,164.5
Nicaragua,2013,154.5
Nicaragua,2014,154.5
Nicaragua,2015,154.5
Nicaragua,2016,154.5
Nicaragua,2017,154.5
Nicaragua,2018,154.5
Nicaragua,2019,153.24
Nicaragua,2020,153
North America,1990,3656.5
North America,1995,3913.96
North America,2000,3648
North America,2001,3054
North America,2002,3095
North America,2003,3093
North America,2004,3112
North America,2005,3245
North America,2006,3234
North America,2007,3174
North America,2008,3192
North America,2009,3347
North America,2010,3370
North America,2011,3296
North America,2012,3416
North America,2013,3430
North America,2014,3327
North America,2015,3448
North America,2016,3443
North America,2017,3408.7
North America,2018,3491.1
North America,2019,3490.9
North America,2020,3493
Other Europe,1990,0
Other Europe,1995,0
Other Europe,2000,0
Other Europe,2001,0
Other Europe,2002,2
Other Europe,2003,2
Other Europe,2004,2
Other Europe,2005,0.9
Other Europe,2006,0.9
Other Europe,2007,0.9
Other Europe,2008,0.9
Other Europe,2009,0.9
Other Europe,2010,0.9
Other Europe,2011,0.9
Other Europe,2012,0.9
Other Europe,2013,0.9
Other Europe,2014,0.965
Other Europe,2015,0.965
Other Europe,2016,0.974
Other Europe,2017,3.965
Other Europe,2018,3.965
Other Europe,2019,3.965
Other Europe,2020,4
Other South & Central America,1990,0
Other South & Central America,1995,0
Other South & Central America,2000,4.6
Other South & Central America,2001,4.6
Other South & Central America,2002,4.6
Other South & Central America,2003,4.6
Other South & Central America,2004,4.6
Other South & Central America,2005,15.6
Other South & Central America,2006,15.6
Other South & Central America,2007,15.6
Other South & Central America,2008,15.6
Other South & Central America,2009,15
Other South & Central America,2010,15
Other South & Central America,2011,15
Other South & Central America,2012,15
Other South & Central America,2013,15
Other South & Central America,2014,15
Other South & Central America,2015,15
Other South & Central America,2016,15
Other South & Central America,2017,15
Other South & Central America,2018,15
Other South & Central America,2019,15
Other South & Central America,2020,15
Papua New Guinea,1990,0
Papua New Guinea,1995,0
Papua New Guinea,2000,0
Papua New Guinea,2001,0
Papua New Guinea,2002,0
Papua New Guinea,2003,6
Papua New Guinea,2004,6
Papua New Guinea,2005,36
Papua New Guinea,2006,36
Papua New Guinea,2007,56
Papua New Guinea,2008,56
Papua New Guinea,2009,56
Papua New Guinea,2010,56
Papua New Guinea,2011,56
Papua New Guinea,2012,56
Papua New Guinea,2013,56
Papua New Guinea,2014,56
Papua New Guinea,2015,56
Papua New Guinea,2016,56
Papua New Guinea,2017,56
Papua New Guinea,2018,56
Papua New Guinea,2019,56
Papua New Guinea,2020,56
Philippines,1990,888
Philippines,1995,1154
Philippines,2000,1846.5
Philippines,2001,1846.5
Philippines,2002,1846.5
Philippines,2003,1846.5
Philippines,2004,1846.5
Philippines,2005,1846.5
Philippines,2006,1846.5
Philippines,2007,1846.5
Philippines,2008,1846.5
Philippines,2009,1846.5
Philippines,2010,1846.5
Philippines,2011,1846.5
Philippines,2012,1846.5
Philippines,2013,1846.5
Philippines,2014,1916.1
Philippines,2015,1916.1
Philippines,2016,1916.1
Philippines,2017,1916.1
Philippines,2018,1928.1
Philippines,2019,1928.1
Philippines,2020,1928
Portugal,1990,3
Portugal,1995,5
Portugal,2000,14
Portugal,2001,14
Portugal,2002,14
Portugal,2003,14
Portugal,2004,14
Portugal,2005,14
Portugal,2006,25
Portugal,2007,25
Portugal,2008,25
Portugal,2009,25
Portugal,2010,25
Portugal,2011,25
Portugal,2012,25
Portugal,2013,25
Portugal,2014,25
Portugal,2015,25
Portugal,2016,25
Portugal,2017,29.1
Portugal,2018,29.1
Portugal,2019,29.1
Portugal,2020,29
Russia,1990,11
Russia,1995,11
Russia,2000,23
Russia,2001,21
Russia,2002,70
Russia,2003,70
Russia,2004,56
Russia,2005,79
Russia,2006,87
Russia,2007,90
Russia,2008,80
Russia,2009,81
Russia,2010,81
Russia,2011,81
Russia,2012,81
Russia,2013,79
Russia,2014,78
Russia,2015,78
Russia,2016,78
Russia,2017,74
Russia,2018,74
Russia,2019,74
Russia,2020,74
South & Central America,1990,130
South & Central America,1995,230
South & Central America,2000,360.8
South & Central America,2001,365.8
South & Central America,2002,417
South & Central America,2003,435
South & Central America,2004,428
South & Central America,2005,449
South & Central America,2006,474.2
South & Central America,2007,527.4
South & Central America,2008,527.4
South & Central America,2009,526.8
South & Central America,2010,526.8
South & Central America,2011,578.2
South & Central America,2012,655.6
South & Central America,2013,640.6
South & Central America,2014,640.6
South & Central America,2015,640.46
South & Central America,2016,629.96
South & Central America,2017,688.96
South & Central America,2018,712.96
South & Central America,2019,761.2
South & Central America,2020,762
Turkey,1990,20.6
Turkey,1995,20.4
Turkey,2000,18
Turkey,2001,18
Turkey,2002,18
Turkey,2003,15
Turkey,2004,15
Turkey,2005,15
Turkey,2006,23
Turkey,2007,23
Turkey,2008,30
Turkey,2009,77
Turkey,2010,94
Turkey,2011,114
Turkey,2012,162
Turkey,2013,311
Turkey,2014,405
Turkey,2015,624
Turkey,2016,821
Turkey,2017,1063.7
Turkey,2018,1282.5
Turkey,2019,1514.7
Turkey,2020,1613
United States,1990,2913.5
United States,1995,3170.96
United States,2000,2793
United States,2001,2216
United States,2002,2252
United States,2003,2133
United States,2004,2152
United States,2005,2285
United States,2006,2274
United States,2007,2214
United States,2008,2229
United States,2009,2382
United States,2010,2405
United States,2011,2409
United States,2012,2592
United States,2013,2607
United States,2014,2514
United States,2015,2542
United States,2016,2517
United States,2017,2483
United States,2018,2540.5
United States,2019,2555.3
United States,2020,2587
World,1975,1300
World,1980,3887
World,1985,4764
World,1990,5853.5
World,1995,6770.36
World,2000,8235.8
World,2001,7916.8
World,2002,8109
World,2003,8195.9
World,2004,8214.1
World,2005,8564.1
World,2006,8792.2
World,2007,9022.2
World,2008,9344.3
World,2009,9790.7
World,2010,9998
World,2011,10133.4
World,2012,10480.3
World,2013,10717.6
World,2014,11161.815
World,2015,11798.875
World,2016,12121.594
World,2017,12680.665
World,2018,13244.865
World,2019,13911.665
World,2020,14075
