Country,Year,GDP,Population
Bahrain,2020,40933.35266,1701583
Bangladesh,2020,4818.094737,164689383
Barbados,2020,12870.0425,287371
Belarus,2020,19148.1751,9449321
Belgium,2020,48210.03311,11589616
Belize,2020,6119.887687,397621
Benin,2020,3323.144451,12123198
Bermuda,2020,,62273
Bhutan,2020,10909.10017,771612
Bolivia,2020,7931.754309,11673029
Bonaire Sint Eustatius and Saba,2020,,26221
Bosnia and Herzegovina,2020,14339.83118,3280815
Botswana,2020,16040.00847,2351625
Brazil,2020,14063.98251,212559409
British Virgin Islands,2020,,30237
Brunei,2020,62243.58315,437483
Bulgaria,2020,22383.80554,6948445
Burkina Faso,2020,2160.51153,20903278
Burundi,2020,731.0632297,11890781
Cambodia,2020,4191.850003,16718971
Cameroon,2020,3576.349499,26545864
Canada,2020,45856.62563,37742157
Cape Verde,2020,6045.060885,555988
Caribbean Small States,2020,14844.46131,
Cayman Islands,2020,,65720
Central African Republic,2020,928.5895075,4829764
Central Europe and the Baltics,2020,31329.49953,
Chad,2020,1519.912362,16425859
Channel Islands,2020,,173859
Chile,2020,23324.52475,19116209
China,2020,16410.7978,1439323774
Colombia,2020,13441.49295,50882884
Comoros,2020,3140.698772,869595
Congo,2020,3449.145695,5518092
Cook Islands,2020,,17564
Costa Rica,2020,19679.28864,5094114
Cote d'Ivoire,2020,5174.100553,26378275
Croatia,2020,26465.12731,4105268
Cuba,2020,,11326616
Curacao,2020,,164100
Cyprus,2020,37655.18035,1207361
Czechia,2020,38319.33766,10708982
Democratic Republic of Congo,2020,1072.210113,89561404
Denmark,2020,55938.21281,5792203
Djibouti,2020,5481.114817,988002
Dominica,2020,9891.29194,71991
Dominican Republic,2020,17003.01302,10847904
Early-demographic dividend,2020,8964.690917,
East Asia & Pacific,2020,17682.22053,
East Asia & Pacific (IDA & IBRD),2020,14592.45338,
East Asia & Pacific (excluding high income),2020,14441.04673,
Ecuador,2020,10329.19875,17643060
Egypt,2020,11951.44753,102334403
El Salvador,2020,8056.543086,6486201
Equatorial Guinea,2020,17007.62478,1402985
Eritrea,2020,,3546427
Estonia,2020,35638.42135,1326539
Eswatini,2020,8392.717564,1160164
Ethiopia,2020,2296.827352,114963583
Euro area,2020,43681.03717,
Europe,2020,,748843405
Europe & Central Asia,2020,33278.39844,
Europe & Central Asia (IDA & IBRD),2020,22528.04822,
Europe & Central Asia (excluding high income),2020,21613.6564,
European Union,2020,41504.15915,
Faeroe Islands,2020,,48865
Falkland Islands,2020,,3483
Fiji,2020,10997.47349,896444
Finland,2020,47260.80046,5540718
France,2020,42025.61737,65273512
French Guiana,2020,,298682
French Polynesia,2020,,280904
Gabon,2020,14399.86881,2225728
Gambia,2020,2159.441909,2416664
Georgia,2020,14089.30233,3989175
Germany,2020,50922.35802,83783945
Ghana,2020,5304.983525,31072945
Gibraltar,2020,,33691
Greece,2020,27287.0834,10423056
Greenland,2020,,56772
Grenada,2020,15065.87195,112519
Guadeloupe,2020,,400127
Guam,2020,,168783
Guatemala,2020,8393.284643,17915567
Guinea,2020,2670.823355,13132792
Guinea-Bissau,2020,1847.465824,1967998
Guyana,2020,18679.98023,786559
Haiti,2020,2773.081364,11402533
Heavily indebted poor countries (HIPC),2020,2518.510139,
High income,2020,47785.70424,
Honduras,2020,5138.385398,9904608
Hong Kong,2020,56153.9715,7496988
Hungary,2020,31007.76841,9660350
IBRD only,2020,13066.07122,
IDA & IBRD total,2020,10631.75642,
IDA blend,2020,4730.228466,
IDA only,2020,3330.546961,
IDA total,2020,3790.552526,
Iceland,2020,52279.72885,341250
India,2020,6118.35733,1380004385
Indonesia,2020,11444.96068,273523621
Iran,2020,12433.29698,83992953
Iraq,2020,9255.256903,40222503
Ireland,2020,89688.95696,4937796
Isle of Man,2020,,85032
Israel,2020,38341.30757,8655541
Italy,2020,38992.14838,60461828
Jamaica,2020,8741.550443,2961161
Japan,2020,,126476458
Jordan,2020,9816.55453,10203140
Kazakhstan,2020,25337.1524,18776707
Kenya,2020,4220.440248,53771300
Kiribati,2020,2291.907219,119446
Kosovo,2020,10776.09525,
Kuwait,2020,,4270563
Kyrgyzstan,2020,4706.570238,6524191
Laos,2020,7805.798556,7275556
Late-demographic dividend,2020,17315.06566,
Latin America & Caribbean,2020,15169.20355,
Latin America & Caribbean (IDA & IBRD),2020,15111.71568,
Latin America & Caribbean (excluding high income),2020,14280.23335,
Latvia,2020,29932.49391,1886202
Least developed countries: UN classification,2020,3000.824536,
Lebanon,2020,11649.05011,6825442
Lesotho,2020,2279.895874,2142252
Liberia,2020,1353.84292,5057677
Libya,2020,10282.29108,6871287
Liechtenstein,2020,,38137
Lithuania,2020,36732.03474,2722291
Low & middle income,2020,10293.85533,
Lower middle income,2020,6722.809932,
Luxembourg,2020,110261.1574,625976
Macao,2020,54797.92984,649342
Madagascar,2020,1510.141726,27691019
Malawi,2020,1486.778248,19129955
Malaysia,2020,26435.17157,32365998
Maldives,2020,13049.04666,540542
Mali,2020,2216.773262,20250834
Malta,2020,39222.14335,441539
Marshall Islands,2020,,59194
Martinique,2020,,375265
Mauritania,2020,4983.220633,4649660
Mauritius,2020,19469.52459,1271767
Mayotte,2020,,272813
Mexico,2020,17887.75074,128932753
Micronesia (country),2020,,115021
Middle East & North Africa,2020,15498.10151,
Middle East & North Africa (IDA & IBRD),2020,10228.35731,
Middle East & North Africa (excluding high income),2020,10169.54664,
Middle income,2020,11209.93315,
Moldova,2020,12324.73628,4033963
Monaco,2020,,39244
Mongolia,2020,11470.67383,3278292
Montenegro,2020,18278.73079,628062
Montserrat,2020,,4999
Morocco,2020,6916.346412,36910558
Mozambique,2020,1229.080019,31255435
Myanmar,2020,4544.021569,54409794
Namibia,2020,8893.813157,2540916
Nauru,2020,,10834
Nepal,2020,3800.065703,29136808
Netherlands,2020,54209.56384,17134873
New Caledonia,2020,,285491
New Zealand,2020,42404.39374,4822233
Nicaragua,2020,5280.140581,6624554
Niger,2020,1196.87756,24206636
Nigeria,2020,4916.721381,206139587
Niue,2020,,1618
North America,2020,58752.15407,592062319
North Korea,2020,,25778815
North Macedonia,2020,15848.41929,2083380
Northern Mariana Islands,2020,,57557
Norway,2020,63585.90351,5421242
OECD members,2020,42288.34807,
Oceania,2020,,42677809
Oman,2020,,5106622
Other small states,2020,21103.12102,
Pacific island small states,2020,6120.970992,
Pakistan,2020,4622.770769,220892331
Palau,2020,,18092
Palestine,2020,5394.071688,5101416
Panama,2020,25381.84845,4314768
Papua New Guinea,2020,4101.218882,8947027
Paraguay,2020,12335.47236,7132530
Peru,2020,11260.84575,32971845
Philippines,2020,7953.581644,109581085
Poland,2020,32238.15726,37846605
Portugal,2020,32181.15454,10196707
Post-demographic dividend,2020,46457.37534,
Pre-demographic dividend,2020,3377.194829,
Puerto Rico,2020,33442.83157,2860840
Qatar,2020,85266.21059,2881060
Reunion,2020,,895308
Romania,2020,28832.62315,19237682
Russia,2020,26456.38794,145934460
Rwanda,2020,2098.710362,12952209
Saint Barthlemy,2020,,9885
Saint Helena,2020,,6071
Saint Kitts and Nevis,2020,23259.36231,53192
Saint Lucia,2020,12270.01329,183629
Saint Martin (French part),2020,,38659
Saint Pierre and Miquelon,2020,,5795
Saint Vincent and the Grenadines,2020,12105.38136,110947
Samoa,2020,6295.731841,198410
San Marino,2020,,33938
Sao Tome and Principe,2020,4051.604844,219161
Saudi Arabia,2020,44328.18391,34813867
Senegal,2020,3300.085493,16743930
Serbia,2020,18210.00462,8737370
Seychelles,2020,24361.89394,98340
Sierra Leone,2020,1648.05336,7976985
Singapore,2020,93397.0488,5850343
Sint Maarten (Dutch part),2020,,42882
Slovakia,2020,30330.04289,5459643
Slovenia,2020,36547.73896,2078931
Small states,2020,19091.84539,
Solomon Islands,2020,2482.87192,686878
Somalia,2020,829.6114289,15893219
South Africa,2020,11466.18967,59308690
South America,2020,,430759771
South Asia,2020,5781.740107,
South Asia (IDA & IBRD),2020,5781.740107,
South Korea,2020,42251.44506,51269183
South Sudan,2020,,11193729
Spain,2020,36215.44759,46754783
Sri Lanka,2020,12536.94176,21413250
Sub-Saharan Africa,2020,3641.344208,
Sub-Saharan Africa (IDA & IBRD),2020,3641.344208,
Sub-Saharan Africa (excluding high income),2020,3639.558146,
Sudan,2020,4022.865967,43849269
Suriname,2020,16130.17081,586634
Sweden,2020,50683.32351,10099270
Switzerland,2020,68393.306,8654618
Syria,2020,,17500657
Taiwan,2020,,23816775
Tajikistan,2020,3657.573507,9537642
Tanzania,2020,2635.335891,59734213
Thailand,2020,17286.86661,69799978
Timor,2020,3181.137188,1318442
Togo,2020,2107.877261,8278736
Tokelau,2020,,1350
Tonga,2020,,105697
Trinidad and Tobago,2020,23728.15865,1399491
Tunisia,2020,9727.504259,11818618
Turkey,2020,28384.98778,84339067
Turkmenistan,2020,,6031187
Turks and Caicos Islands,2020,21122.00571,38718
Tuvalu,2020,4411.003116,11792
Uganda,2020,2177.595854,45741000
Ukraine,2020,12377.01729,43733759
United Arab Emirates,2020,,9890400
United Kingdom,2020,41627.12927,67886004
United States,2020,60235.72849,331002647
United States Virgin Islands,2020,,104423
Upper middle income,2020,17145.95504,
Uruguay,2020,21608.43027,3473727
Uzbekistan,2020,6994.169412,33469199
Vanuatu,2020,2762.791388,307150
Vatican,2020,,809
Venezuela,2020,,28435943
Vietnam,2020,8200.331867,97338583
Wallis and Futuna,2020,,11246
Western Sahara,2020,,597330
World,2020,16194.04031,7794798725
Yemen,2020,,29825968
Zambia,2020,3270.035112,18383956
Zimbabwe,2020,2744.690758,14862927
Afghanistan,2019,2065.036235,38041757
Africa,2019,,1308064176
Africa Eastern and Southern,2019,3568.597017,
Africa Western and Central,2019,4142.398382,
Albania,2019,13671.48842,2880913
Algeria,2019,11510.55709,43053054
American Samoa,2019,,55312
Andorra,2019,,77146
Angola,2019,6670.331458,31825299
Anguilla,2019,,14872
Antigua and Barbuda,2019,21548.72501,97115
Arab World,2019,14599.70789,
Argentina,2019,22063.90437,44780675
Armenia,2019,13653.76338,2957728
Aruba,2019,,106310
Asia,2019,,4600172691
Australia,2019,49455.53851,25203200
Austria,2019,55833.31569,8955108
Azerbaijan,2019,14439.3014,10047719
Bahamas,2019,37100.36296,389486
Bahrain,2019,45060.42374,1641164
Bangladesh,2019,4753.726597,163046173
Barbados,2019,15639.04784,287021
Belarus,2019,19283.11715,9452409
Belgium,2019,51742.72638,11539326
Belize,2019,7251.921351,390351
Benin,2019,3287.309538,11801151
Bermuda,2019,81804.26568,62508
Bhutan,2019,11832.15825,763094
Bolivia,2019,8724.474187,11513102
Bonaire Sint Eustatius and Saba,2019,,25983
Bosnia and Herzegovina,2019,14896.79004,3300998
Botswana,2019,17776.80831,2303703
Brazil,2019,14763.8717,211049519
British Virgin Islands,2019,,30033
Brunei,2019,62098.01134,433296
Bulgaria,2019,23191.57458,7000117
Burkina Faso,2019,2178.322879,20321383
Burundi,2019,751.6641528,11530577
Cambodia,2019,4388.800909,16486542
Cameroon,2019,3642.276273,25876387
Canada,2019,49006.74311,37411038
Cape Verde,2019,7171.826425,549936
Caribbean Small States,2019,15994.26046,
Cayman Islands,2019,73633.70163,64947
Central African Republic,2019,945.1420429,4745179
Central Europe and the Baltics,2019,32553.73244,
Chad,2019,1579.626101,15946882
Channel Islands,2019,,172264
Chile,2019,24967.58021,18952035
China,2019,16092.30077,1433783692
Colombia,2019,14585.30249,50339443
Comoros,2019,3059.491726,850891
Congo,2019,3842.798856,5380504
Cook Islands,2019,,17547
Costa Rica,2019,20805.34368,5047561
Cote d'Ivoire,2019,5212.554021,25716554
Croatia,2019,28753.51627,4130299
Cuba,2019,,11333484
Curacao,2019,24494.34261,163423
Cyprus,2019,40226.80949,1198574
Czechia,2019,40696.31049,10689213
Democratic Republic of Congo,2019,1097.94884,86790568
Denmark,2019,57678.09889,5771877
Djibouti,2019,5534.766172,973557
Dominica,2019,11905.87052,71808
Dominican Republic,2019,18412.89999,10738957
Early-demographic dividend,2019,9534.210635,
East Asia & Pacific,2019,17705.04677,
East Asia & Pacific (IDA & IBRD),2019,14566.84478,
East Asia & Pacific (excluding high income),2019,14415.51916,
Ecuador,2019,11370.6033,17373657
Egypt,2019,11763.25328,100388076
El Salvador,2019,8796.062064,6453550
Equatorial Guinea,2019,18502.56396,1355982
Eritrea,2019,,3497117
Estonia,2019,36830.07479,1325649
Eswatini,2019,8621.804067,1148133
Ethiopia,2019,2221.404665,112078727
Euro area,2019,46913.55002,
Europe,2019,,748381389
Europe & Central Asia,2019,35200.21133,
Europe & Central Asia (IDA & IBRD),2019,23053.85352,
Europe & Central Asia (excluding high income),2019,22085.86371,
European Union,2019,44275.57164,
Faeroe Islands,2019,,48677
Falkland Islands,2019,,3372
Fiji,2019,13684.36082,889955
Finland,2019,48689.23415,5532159
France,2019,45834.16691,65129731
French Guiana,2019,,290823
French Polynesia,2019,,279285
Gabon,2019,14950.07708,2172578
Gambia,2019,2222.87959,2347696
Georgia,2019,14989.25816,3996762
Germany,2019,53639.26072,83517046
Ghana,2019,5396.866088,30417858
Gibraltar,2019,,33706
Greece,2019,29723.22196,10473452
Greenland,2019,,56660
Grenada,2019,17050.29304,112002
Guadeloupe,2019,,400048
Guam,2019,,167295
Guatemala,2019,8653.308195,17581476
Guinea,2019,2567.033987,12771246
Guinea-Bissau,2019,1939.28951,1920917
Guyana,2019,13082.20262,782775
Haiti,2019,2905.438565,11263079
Heavily indebted poor countries (HIPC),2019,2576.64431,
High income,2019,50296.3271,
Honduras,2019,5736.181633,9746115
Hong Kong,2019,59586.20401,7436157
Hungary,2019,32553.5237,9684680
IBRD only,2019,13486.66636,
IDA & IBRD total,2019,10996.81183,
IDA blend,2019,4872.311743,
IDA only,2019,3410.672623,
IDA total,2019,3892.231652,
Iceland,2019,56913.95685,339037
India,2019,6713.932211,1366417756
Indonesia,2019,11811.97556,270625567
Iran,2019,12389.22335,82913893
Iraq,2019,10565.24743,39309789
Ireland,2019,87786.15693,4882498
Isle of Man,2019,,84589
Israel,2019,40007.31916,8519373
Italy,2019,42662.52237,60550092
Jamaica,2019,9777.005686,2948277
Japan,2019,41380.09358,126860299
Jordan,2019,10071.37989,10101697
Kazakhstan,2019,26351.80444,18551428
Kenya,2019,4329.871884,52573967
Kiribati,2019,2270.108607,117608
Kosovo,2019,11485.92401,
Kuwait,2019,49853.73628,4207077
Kyrgyzstan,2019,5258.366696,6415851
Laos,2019,7886.652814,7169456
Late-demographic dividend,2019,17431.26698,
Latin America & Caribbean,2019,16410.18398,
Latin America & Caribbean (IDA & IBRD),2019,16353.63967,
Latin America & Caribbean (excluding high income),2019,15469.45222,
Latvia,2019,30858.75007,1906740
Least developed countries: UN classification,2019,3079.480494,
Lebanon,2019,14551.59371,6855709
Lesotho,2019,2583.924371,2125267
Liberia,2019,1427.81909,4937374
Libya,2019,15174.16252,6777453
Liechtenstein,2019,,38020
Lithuania,2019,37062.58675,2759631
Low & middle income,2019,10643.20918,
Lower middle income,2019,7106.967485,
Luxembourg,2019,113940.2374,615730
Macao,2019,127161.4994,640446
Madagascar,2019,1618.532314,26969306
Malawi,2019,1514.662677,18628749
Malaysia,2019,28364.47632,31949789
Maldives,2019,19531.04256,530957
Mali,2019,2321.917173,19658023
Malta,2019,43950.58805,440377
Marshall Islands,2019,4029.086329,58791
Martinique,2019,,375557
Mauritania,2019,5197.072251,4525698
Mauritius,2019,22870.28625,1269670
Mayotte,2019,,266153
Mexico,2019,19701.33767,127575529
Micronesia (country),2019,3466.413293,113811
Middle East & North Africa,2019,16261.57505,
Middle East & North Africa (IDA & IBRD),2019,10669.33751,
Middle East & North Africa (excluding high income),2019,10616.39832,
Middle income,2019,11577.73099,
Moldova,2019,13022.00461,4043258
Monaco,2019,,38967
Mongolia,2019,12316.79137,3225166
Montenegro,2019,21533.94924,627988
Montserrat,2019,,4991
Morocco,2019,7537.485272,36471766
Mozambique,2019,1281.506041,30366043
Myanmar,2019,5082.503161,54045422
Namibia,2019,9845.213068,2494524
Nauru,2019,13527.41194,10764
Nepal,2019,3952.760349,28608715
Netherlands,2019,56629.11079,17097123
New Caledonia,2019,,282757
New Zealand,2019,42877.94291,4783062
Nicaragua,2019,5451.707835,6545503
Niger,2019,1224.510262,23310719
Nigeria,2019,5135.499469,200963603
Niue,2019,,1614
North America,2019,61234.78167,587512621
North Korea,2019,,25666158
North Macedonia,2019,16600.14365,2083458
Northern Mariana Islands,2019,,57213
Norway,2019,64452.81262,5378859
OECD members,2019,44553.58642,
Oceania,2019,,42128048
Oman,2019,27294.57298,4974992
Other small states,2019,22723.89962,
Pacific island small states,2019,7326.508834,
Pakistan,2019,4690.484777,216565317
Palau,2019,17572.6226,18001
Palestine,2019,6245.448697,4981422
Panama,2019,31432.11327,4246440
Papua New Guinea,2019,4349.808048,8776119
Paraguay,2019,12615.52865,7044639
Peru,2019,12853.69207,32510462
Philippines,2019,8914.723798,108116622
Poland,2019,33120.51784,37887771
Portugal,2019,34879.70597,10226178
Post-demographic dividend,2019,48999.14915,
Pre-demographic dividend,2019,3543.50029,
Puerto Rico,2019,34804.93471,2933404
Qatar,2019,90043.799,2832071
Reunion,2019,,888932
Romania,2019,29857.64647,19364558
Russia,2019,27210.546,145872260
Rwanda,2019,2227.517033,12626938
Saint Barthlemy,2019,,9853
Saint Helena,2019,,6061
Saint Kitts and Nevis,2019,26235.55455,52834
Saint Lucia,2019,15448.34491,182795
Saint Martin (French part),2019,,38002
Saint Pierre and Miquelon,2019,,5821
Saint Vincent and the Grenadines,2019,12484.72871,110593
Samoa,2019,6516.520678,197093
San Marino,2019,60847.10676,33864
Sao Tome and Principe,2019,4005.341623,215048
Saudi Arabia,2019,46962.14769,34268529
Senegal,2019,3361.461548,16296362
Serbia,2019,18292.17503,8772228
Seychelles,2019,27521.16677,97741
Sierra Leone,2019,1719.789744,7813207
Singapore,2019,98411.58206,5804343
Sint Maarten (Dutch part),2019,,42389
Slovakia,2019,31871.33492,5457012
Slovenia,2019,38905.54786,2078654
Small states,2019,20586.64375,
Solomon Islands,2019,2660.979697,669821
Somalia,2019,866.7622897,15442906
South Africa,2019,12481.81351,58558267
South America,2019,,427199425
South Asia,2019,6243.088906,
South Asia (IDA & IBRD),2019,6243.088906,
South Korea,2019,42719.00026,51225321
South Sudan,2019,,11062114
Spain,2019,40805.91697,46736782
Sri Lanka,2019,13070.12564,21323734
Sub-Saharan Africa,2019,3805.407101,
Sub-Saharan Africa (IDA & IBRD),2019,3805.407101,
Sub-Saharan Africa (excluding high income),2019,3803.323828,
Sudan,2019,4185.600635,42813237
Suriname,2019,19036.74504,581363
Sweden,2019,52531.17438,10036391
Switzerland,2019,70920.32473,8591361
Syria,2019,,17070132
Taiwan,2019,,23773881
Tajikistan,2019,3581.411402,9321023
Tanzania,2019,2660.420433,58005461
Thailand,2019,18453.46982,69625581
Timor,2019,3552.596998,1293120
Togo,2019,2121.899918,8082359
Tokelau,2019,,1330
Tonga,2019,6378.128346,104497
Trinidad and Tobago,2019,25827.88507,1394969
Tunisia,2019,10755.57266,11694721
Turkey,2019,28199.05159,83429607
Turkmenistan,2019,15538.41997,5942094
Turks and Caicos Islands,2019,29251.07773,38194
Tuvalu,2019,4274.763166,11655
Uganda,2019,2187.465227,44269587
Ukraine,2019,12808.799,43993643
United Arab Emirates,2019,67119.15324,9770526
United Kingdom,2019,46406.46175,67530161
United States,2019,62630.87328,329064917
United States Virgin Islands,2019,,104579
Upper middle income,2019,17440.33944,
Uruguay,2019,23032.73404,3461731
Uzbekistan,2019,7014.324699,32981714
Vanuatu,2019,3117.678832,299882
Vatican,2019,,815
Venezuela,2019,,28515829
Vietnam,2019,8041.178384,96462108
Wallis and Futuna,2019,,11436
Western Sahara,2019,,582458
World,2019,16915.28785,7713468203
Yemen,2019,,29161922
Zambia,2019,3470.448024,17861034
Zimbabwe,2019,3027.656038,14645473
Afghanistan,2018,2033.804389,37171922
Africa,2018,,1275921014
Africa Eastern and Southern,2018,3579.271917,
Africa Western and Central,2018,4115.235801,
Albania,2018,13323.75336,2882735
Algeria,2018,11642.19835,42228415
American Samoa,2018,,55461
Andorra,2018,,77008
Angola,2018,6933.499934,30809787
Anguilla,2018,,14738
Antigua and Barbuda,2018,21030.39507,96282
Arab World,2018,14608.97425,
Argentina,2018,22759.39856,44361150
Armenia,2018,12715.10895,2951741
Aruba,2018,,105846
Asia,2018,,4559477874
Australia,2018,49151.68871,24898153
Austria,2018,55297.61829,8891383
