Country,Year,Emission,Category,Energy
United States of America,1995,83.23713075,Nitrogen Trifluoride (Co2 Equivilent),
United States of America,1996,6949838.004,Gas (Co2 Equivilent),
United States of America,1996,5630113.715,Carbon Dioxide ,93299.1708
United States of America,1996,762203.8462,Methane (Co2 Equivilent),
United States of America,1996,428923.512,Nitrogen Oxide (Co2 Equivilent),
United States of America,1996,79480.07041,Hydrofluorocarbons (Co2 Equivilent),
United States of America,1996,25919.90501,Sulphur Hexafluoride (Co2 Equivilent),
United States of America,1996,19867.54054,Perfluorocarbons (Co2 Equivilent),
United States of America,1996,92.43174213,Nitrogen Trifluoride (Co2 Equivilent),
United States of America,1997,6999999.1,Gas (Co2 Equivilent),
United States of America,1997,5704996.869,Carbon Dioxide ,92838.94626
United States of America,1997,747177.1101,Methane (Co2 Equivilent),
United States of America,1997,412317.9833,Nitrogen Oxide (Co2 Equivilent),
United States of America,1997,89069.66503,Hydrofluorocarbons (Co2 Equivilent),
United States of America,1997,24168.0225,Sulphur Hexafluoride (Co2 Equivilent),
United States of America,1997,18267.24476,Perfluorocarbons (Co2 Equivilent),
United States of America,1997,97.68187019,Nitrogen Trifluoride (Co2 Equivilent),
United States of America,1998,7066788.163,Gas (Co2 Equivilent),
United States of America,1998,5744672.196,Carbon Dioxide ,92273.42892
United States of America,1998,737821.4206,Methane (Co2 Equivilent),
United States of America,1998,433872.6492,Nitrogen Oxide (Co2 Equivilent),
United States of America,1998,107654.3206,Hydrofluorocarbons (Co2 Equivilent),
United States of America,1998,21198.47242,Sulphur Hexafluoride (Co2 Equivilent),
United States of America,1998,16978.59967,Perfluorocarbons (Co2 Equivilent),
United States of America,1998,119.7751673,Nitrogen Trifluoride (Co2 Equivilent),
United States of America,1999,7090442.611,Gas (Co2 Equivilent),
United States of America,1999,5818972.385,Carbon Dioxide ,92769.66648
United States of America,1999,723454.8736,Methane (Co2 Equivilent),
United States of America,1999,401147.4076,Nitrogen Oxide (Co2 Equivilent),
United States of America,1999,104296.8981,Hydrofluorocarbons (Co2 Equivilent),
United States of America,1999,20942.276,Sulphur Hexafluoride (Co2 Equivilent),
United States of America,1999,16910.13017,Perfluorocarbons (Co2 Equivilent),
United States of America,1999,121.5429863,Nitrogen Trifluoride (Co2 Equivilent),
United States of America,2000,7258973.117,Gas (Co2 Equivilent),
United States of America,2000,5992438.04,Carbon Dioxide ,93810.54559
United States of America,2000,717473.9352,Methane (Co2 Equivilent),
United States of America,2000,401400.224,Nitrogen Oxide (Co2 Equivilent),
United States of America,2000,109295.2544,Hydrofluorocarbons (Co2 Equivilent),
United States of America,2000,17873.91941,Sulphur Hexafluoride (Co2 Equivilent),
United States of America,2000,15918.77684,Perfluorocarbons (Co2 Equivilent),
United States of America,2000,205.7376786,Nitrogen Trifluoride (Co2 Equivilent),
United States of America,2001,7140899.141,Gas (Co2 Equivilent),
United States of America,2001,5894462.942,Carbon Dioxide ,90665.24956
United States of America,2001,712676.765,Methane (Co2 Equivilent),
United States of America,2001,399324.4245,Nitrogen Oxide (Co2 Equivilent),
United States of America,2001,104598.3829,Hydrofluorocarbons (Co2 Equivilent),
United States of America,2001,17075.04533,Sulphur Hexafluoride (Co2 Equivilent),
United States of America,2001,8245.924377,Perfluorocarbons (Co2 Equivilent),
United States of America,2001,229.0408631,Nitrogen Trifluoride (Co2 Equivilent),
United States of America,2002,7185328.138,Gas (Co2 Equivilent),
United States of America,2002,5935738.784,Carbon Dioxide ,91122.30687
United States of America,2002,706330.2419,Methane (Co2 Equivilent),
United States of America,2002,400917.9017,Nitrogen Oxide (Co2 Equivilent),
United States of America,2002,110780.087,Hydrofluorocarbons (Co2 Equivilent),
United States of America,2002,16076.54795,Sulphur Hexafluoride (Co2 Equivilent),
United States of America,2002,10244.08335,Perfluorocarbons (Co2 Equivilent),
United States of America,2002,556.2382306,Nitrogen Trifluoride (Co2 Equivilent),
United States of America,2003,7224974.033,Gas (Co2 Equivilent),
United States of America,2003,5982289.167,Carbon Dioxide ,90608.35999
United States of America,2003,708554.517,Methane (Co2 Equivilent),
United States of America,2003,401775.3062,Nitrogen Oxide (Co2 Equivilent),
United States of America,2003,102658.0875,Hydrofluorocarbons (Co2 Equivilent),
United States of America,2003,15818.27909,Sulphur Hexafluoride (Co2 Equivilent),
United States of America,2003,8170.360936,Perfluorocarbons (Co2 Equivilent),
United States of America,2003,532.7625752,Nitrogen Trifluoride (Co2 Equivilent),
United States of America,2004,7369970.035,Gas (Co2 Equivilent),
United States of America,2004,6096978.363,Carbon Dioxide ,91590.31226
United States of America,2004,704886.7766,Methane (Co2 Equivilent),
United States of America,2004,428554.1716,Nitrogen Oxide (Co2 Equivilent),
United States of America,2004,112065.3385,Hydrofluorocarbons (Co2 Equivilent),
United States of America,2004,14563.82277,Sulphur Hexafluoride (Co2 Equivilent),
United States of America,2004,6818.158244,Perfluorocarbons (Co2 Equivilent),
United States of America,2004,551.2866652,Nitrogen Trifluoride (Co2 Equivilent),
United States of America,2005,7378775.498,Gas (Co2 Equivilent),
United States of America,2005,6122746.612,Carbon Dioxide ,90809.18804
United States of America,2005,717356.2047,Methane (Co2 Equivilent),
United States of America,2005,397551.7201,Nitrogen Oxide (Co2 Equivilent),
United States of America,2005,114052.7472,Hydrofluorocarbons (Co2 Equivilent),
United States of America,2005,14015.69351,Sulphur Hexafluoride (Co2 Equivilent),
United States of America,2005,6677.504051,Perfluorocarbons (Co2 Equivilent),
United States of America,2005,496.0699975,Nitrogen Trifluoride (Co2 Equivilent),
United States of America,2006,7316144.456,Gas (Co2 Equivilent),
United States of America,2006,6042393.615,Carbon Dioxide ,89239.24328
United States of America,2006,719580.6921,Methane (Co2 Equivilent),
United States of America,2006,410066.1909,Nitrogen Oxide (Co2 Equivilent),
United States of America,2006,118056.2629,Hydrofluorocarbons (Co2 Equivilent),
United States of America,2006,12764.32301,Sulphur Hexafluoride (Co2 Equivilent),
United States of America,2006,6343.255916,Perfluorocarbons (Co2 Equivilent),
United States of America,2006,701.3516381,Nitrogen Trifluoride (Co2 Equivilent),
United States of America,2007,7422207.963,Gas (Co2 Equivilent),
United States of America,2007,6121653.863,Carbon Dioxide ,89629.95654
United States of America,2007,725974.6404,Methane (Co2 Equivilent),
United States of America,2007,418985.1625,Nitrogen Oxide (Co2 Equivilent),
United States of America,2007,129425.7514,Hydrofluorocarbons (Co2 Equivilent),
United States of America,2007,11222.88309,Sulphur Hexafluoride (Co2 Equivilent),
United States of America,2007,7774.823152,Perfluorocarbons (Co2 Equivilent),
United States of America,2007,574.8674999,Nitrogen Trifluoride (Co2 Equivilent),
United States of America,2008,7216415.071,Gas (Co2 Equivilent),
United States of America,2008,5923201.376,Carbon Dioxide ,86587.17408
United States of America,2008,738889.5409,Methane (Co2 Equivilent),
United States of America,2008,396777.0898,Nitrogen Oxide (Co2 Equivilent),
United States of America,2008,133551.1307,Hydrofluorocarbons (Co2 Equivilent),
United States of America,2008,10312.75047,Sulphur Hexafluoride (Co2 Equivilent),
United States of America,2008,6126.225075,Perfluorocarbons (Co2 Equivilent),
United States of America,2008,595.2805029,Nitrogen Trifluoride (Co2 Equivilent),
United States of America,2009,6776229.774,Gas (Co2 Equivilent),
United States of America,2009,5488320.28,Carbon Dioxide ,81548.35609
United States of America,2009,735358.6952,Methane (Co2 Equivilent),
United States of America,2009,399500.4873,Nitrogen Oxide (Co2 Equivilent),
United States of America,2009,131990.9868,Hydrofluorocarbons (Co2 Equivilent),
United States of America,2009,9297.936595,Sulphur Hexafluoride (Co2 Equivilent),
United States of America,2009,3926.581617,Perfluorocarbons (Co2 Equivilent),
United States of America,2009,471.796633,Nitrogen Trifluoride (Co2 Equivilent),
United States of America,2010,6985457.053,Gas (Co2 Equivilent),
United States of America,2010,5688756.005,Carbon Dioxide ,83575.46853
United States of America,2010,722410.5661,Methane (Co2 Equivilent),
United States of America,2010,410314.2395,Nitrogen Oxide (Co2 Equivilent),
United States of America,2010,141633.7978,Hydrofluorocarbons (Co2 Equivilent),
United States of America,2010,9481.91347,Sulphur Hexafluoride (Co2 Equivilent),
United States of America,2010,4536.224066,Perfluorocarbons (Co2 Equivilent),
United States of America,2010,562.1702477,Nitrogen Trifluoride (Co2 Equivilent),
United States of America,2011,6865397.903,Gas (Co2 Equivilent),
United States of America,2011,5559507.664,Carbon Dioxide ,82097.03001
United States of America,2011,717423.6902,Methane (Co2 Equivilent),
United States of America,2011,416521.7792,Nitrogen Oxide (Co2 Equivilent),
United States of America,2011,146080.5957,Hydrofluorocarbons (Co2 Equivilent),
United States of America,2011,9990.145376,Sulphur Hexafluoride (Co2 Equivilent),
United States of America,2011,7026.626659,Perfluorocarbons (Co2 Equivilent),
United States of America,2011,668.931661,Nitrogen Trifluoride (Co2 Equivilent),
United States of America,2012,6643010.578,Gas (Co2 Equivilent),
United States of America,2012,5349220.947,Carbon Dioxide ,79330.56513
United States of America,2012,714401.1725,Methane (Co2 Equivilent),
United States of America,2012,409285.5838,Nitrogen Oxide (Co2 Equivilent),
United States of America,2012,147249.7509,Hydrofluorocarbons (Co2 Equivilent),
United States of America,2012,7581.757048,Sulphur Hexafluoride (Co2 Equivilent),
United States of America,2012,6054.952494,Perfluorocarbons (Co2 Equivilent),
United States of America,2012,631.9903121,Nitrogen Trifluoride (Co2 Equivilent),
United States of America,2013,6799979.303,Gas (Co2 Equivilent),
United States of America,2013,5502550.714,Carbon Dioxide ,80853.40735
United States of America,2013,721475.0556,Methane (Co2 Equivilent),
United States of America,2013,403349.7467,Nitrogen Oxide (Co2 Equivilent),
United States of America,2013,149922.3938,Hydrofluorocarbons (Co2 Equivilent),
United States of America,2013,7229.068816,Sulphur Hexafluoride (Co2 Equivilent),
United States of America,2013,5858.174564,Perfluorocarbons (Co2 Equivilent),
United States of America,2013,600.3421629,Nitrogen Trifluoride (Co2 Equivilent),
United States of America,2014,6870446.092,Gas (Co2 Equivilent),
United States of America,2014,5556006.578,Carbon Dioxide ,81112.618
United States of America,2014,730828.6595,Methane (Co2 Equivilent),
United States of America,2014,403501.4571,Nitrogen Oxide (Co2 Equivilent),
United States of America,2014,157237.3449,Hydrofluorocarbons (Co2 Equivilent),
United States of America,2014,7348.782775,Sulphur Hexafluoride (Co2 Equivilent),
United States of America,2014,5582.94173,Perfluorocarbons (Co2 Equivilent),
United States of America,2014,490.4360849,Nitrogen Trifluoride (Co2 Equivilent),
